gCorLinLa	Cat	Cat2
CorollaWidth.y - CorollaWidth.y	flower	flower
CorollaWidth.y - CorollaThroat.y	flower	flower
CorollaWidth.y - CorollaLength.y	flower	flower
CorollaWidth.y - OverallCorollaLength.y	flower	flower
CorollaWidth.y - SepalLength.y	flower	flower
CorollaWidth.y - LongestStamenLength.y	flower	flower
CorollaWidth.y - PistilLength.y	flower	flower
CorollaWidth.y - SeedMass.y	flower-seed	allOther
CorollaWidth.y - SeedLength.y	flower-seed	allOther
CorollaWidth.y - SeedWidth.y	flower-seed	allOther
CorollaWidth.y - NectarVolume.y	flower-nectar	allOther
CorollaWidth.y - SugarConcentration.y	flower-nectar	allOther
CorollaWidth.y - NectarySize.y	flower-nectar	allOther
CorollaThroat.y - CorollaWidth.y	flower	flower
CorollaThroat.y - CorollaThroat.y	flower	flower
CorollaThroat.y - CorollaLength.y	flower	flower
CorollaThroat.y - OverallCorollaLength.y	flower	flower
CorollaThroat.y - SepalLength.y	flower	flower
CorollaThroat.y - LongestStamenLength.y	flower	flower
CorollaThroat.y - PistilLength.y	flower	flower
CorollaThroat.y - SeedMass.y	flower-seed	allOther
CorollaThroat.y - SeedLength.y	flower-seed	allOther
CorollaThroat.y - SeedWidth.y	flower-seed	allOther
CorollaThroat.y - NectarVolume.y	flower-nectar	allOther
CorollaThroat.y - SugarConcentration.y	flower-nectar	allOther
CorollaThroat.y - NectarySize.y	flower-nectar	allOther
CorollaLength.y - CorollaWidth.y	flower	flower
CorollaLength.y - CorollaThroat.y	flower	flower
CorollaLength.y - CorollaLength.y	flower	flower
CorollaLength.y - OverallCorollaLength.y	flower	flower
CorollaLength.y - SepalLength.y	flower	flower
CorollaLength.y - LongestStamenLength.y	flower	flower
CorollaLength.y - PistilLength.y	flower	flower
CorollaLength.y - SeedMass.y	flower-seed	allOther
CorollaLength.y - SeedLength.y	flower-seed	allOther
CorollaLength.y - SeedWidth.y	flower-seed	allOther
CorollaLength.y - NectarVolume.y	flower-nectar	allOther
CorollaLength.y - SugarConcentration.y	flower-nectar	allOther
CorollaLength.y - NectarySize.y	flower-nectar	allOther
OverallCorollaLength.y - CorollaWidth.y	flower	flower
OverallCorollaLength.y - CorollaThroat.y	flower	flower
OverallCorollaLength.y - CorollaLength.y	flower	flower
OverallCorollaLength.y - OverallCorollaLength.y	flower	flower
OverallCorollaLength.y - SepalLength.y	flower	flower
OverallCorollaLength.y - LongestStamenLength.y	flower	flower
OverallCorollaLength.y - PistilLength.y	flower	flower
OverallCorollaLength.y - SeedMass.y	flower-seed	allOther
OverallCorollaLength.y - SeedLength.y	flower-seed	allOther
OverallCorollaLength.y - SeedWidth.y	flower-seed	allOther
OverallCorollaLength.y - NectarVolume.y	flower-nectar	allOther
OverallCorollaLength.y - SugarConcentration.y	flower-nectar	allOther
OverallCorollaLength.y - NectarySize.y	flower-nectar	allOther
SepalLength.y - CorollaWidth.y	flower	flower
SepalLength.y - CorollaThroat.y	flower	flower
SepalLength.y - CorollaLength.y	flower	flower
SepalLength.y - OverallCorollaLength.y	flower	flower
SepalLength.y - SepalLength.y	flower	flower
SepalLength.y - LongestStamenLength.y	flower	flower
SepalLength.y - PistilLength.y	flower	flower
SepalLength.y - SeedMass.y	flower-seed	allOther
SepalLength.y - SeedLength.y	flower-seed	allOther
SepalLength.y - SeedWidth.y	flower-seed	allOther
SepalLength.y - NectarVolume.y	flower-nectar	allOther
SepalLength.y - SugarConcentration.y	flower-nectar	allOther
SepalLength.y - NectarySize.y	flower-nectar	allOther
LongestStamenLength.y - CorollaWidth.y	flower	flower
LongestStamenLength.y - CorollaThroat.y	flower	flower
LongestStamenLength.y - CorollaLength.y	flower	flower
LongestStamenLength.y - OverallCorollaLength.y	flower	flower
LongestStamenLength.y - SepalLength.y	flower	flower
LongestStamenLength.y - LongestStamenLength.y	flower	flower
LongestStamenLength.y - PistilLength.y	flower	flower
LongestStamenLength.y - SeedMass.y	flower-seed	allOther
LongestStamenLength.y - SeedLength.y	flower-seed	allOther
LongestStamenLength.y - SeedWidth.y	flower-seed	allOther
LongestStamenLength.y - NectarVolume.y	flower-nectar	allOther
LongestStamenLength.y - SugarConcentration.y	flower-nectar	allOther
LongestStamenLength.y - NectarySize.y	flower-nectar	allOther
PistilLength.y - CorollaWidth.y	flower	flower
PistilLength.y - CorollaThroat.y	flower	flower
PistilLength.y - CorollaLength.y	flower	flower
PistilLength.y - OverallCorollaLength.y	flower	flower
PistilLength.y - SepalLength.y	flower	flower
PistilLength.y - LongestStamenLength.y	flower	flower
PistilLength.y - PistilLength.y	flower	flower
PistilLength.y - SeedMass.y	flower-seed	allOther
PistilLength.y - SeedLength.y	flower-seed	allOther
PistilLength.y - SeedWidth.y	flower-seed	allOther
PistilLength.y - NectarVolume.y	flower-nectar	allOther
PistilLength.y - SugarConcentration.y	flower-nectar	allOther
PistilLength.y - NectarySize.y	flower-nectar	allOther
SeedMass.y - CorollaWidth.y	flower-seed	allOther
SeedMass.y - CorollaThroat.y	flower-seed	allOther
SeedMass.y - CorollaLength.y	flower-seed	allOther
SeedMass.y - OverallCorollaLength.y	flower-seed	allOther
SeedMass.y - SepalLength.y	flower-seed	allOther
SeedMass.y - LongestStamenLength.y	flower-seed	allOther
SeedMass.y - PistilLength.y	flower-seed	allOther
SeedMass.y - SeedMass.y	seed	allOther
SeedMass.y - SeedLength.y	seed	allOther
SeedMass.y - SeedWidth.y	seed	allOther
SeedMass.y - NectarVolume.y	seed-nectar	allOther
SeedMass.y - SugarConcentration.y	seed-nectar	allOther
SeedMass.y - NectarySize.y	seed-nectar	allOther
SeedLength.y - CorollaWidth.y	flower-seed	allOther
SeedLength.y - CorollaThroat.y	flower-seed	allOther
SeedLength.y - CorollaLength.y	flower-seed	allOther
SeedLength.y - OverallCorollaLength.y	flower-seed	allOther
SeedLength.y - SepalLength.y	flower-seed	allOther
SeedLength.y - LongestStamenLength.y	flower-seed	allOther
SeedLength.y - PistilLength.y	flower-seed	allOther
SeedLength.y - SeedMass.y	seed	allOther
SeedLength.y - SeedLength.y	seed	allOther
SeedLength.y - SeedWidth.y	seed	allOther
SeedLength.y - NectarVolume.y	seed-nectar	allOther
SeedLength.y - SugarConcentration.y	seed-nectar	allOther
SeedLength.y - NectarySize.y	seed-nectar	allOther
SeedWidth.y - CorollaWidth.y	flower-seed	allOther
SeedWidth.y - CorollaThroat.y	flower-seed	allOther
SeedWidth.y - CorollaLength.y	flower-seed	allOther
SeedWidth.y - OverallCorollaLength.y	flower-seed	allOther
SeedWidth.y - SepalLength.y	flower-seed	allOther
SeedWidth.y - LongestStamenLength.y	flower-seed	allOther
SeedWidth.y - PistilLength.y	flower-seed	allOther
SeedWidth.y - SeedMass.y	seed	allOther
SeedWidth.y - SeedLength.y	seed	allOther
