Ind	Sp	Gen	Line	CorollaWidth	CorollaThroat	CorollaLength	OverallCorollaLength	SepalLength	LongestStamenLength	PistilLength	SeedMass	SeedLength	SeedWidth	NectarVolume	SugarConcentration	NectarySize
1360	CL5	F5	1	20.35	6.44	21.89666667	25.13	11.60666667	14.45	10.84	0.036	4.75	4.27	1.622708333	320.9370922	0.118372912
280	CL5	F5	1	17.88666667	7.003333333	21.78	23.92333333	10.42333333	14.82666667	12.68333333	0.036	4.07	4.25	1.223958333	312.5756666	0.084372858
660	CL5	F5	7	20.34666667	5.863333333	23.16666667	25.97666667	11.05	15.86	14.2	0.03	4.5	3.84	0.970416667	316.5440849	0.047476381
875	CL5	F5	7	21.14	5.626666667	20.35666667	24.60333333	10.62333333	15.13333333	14.31333333	0.027	4.35	4.03	1.085625	277.3185365	0.052762154
590	CL5	F5	8	22.72333333	6.703333333	25.28333333	29.57	10.65666667	17.32	13.99	0.033	4.85	4.08	1.595625	313.421384	0.076981097
987	CL5	F5	8	18.5	6.63	22.86	25.46666667	10.09333333	14.52333333	12.39	0.036	4.82	4.14	1.279583333	299.1464047	0.064639039
1012	CL5	F5	9	22.27666667	6.323333333	23.61333333	26.95	12.26	16.10666667	14.08666667	0.02	3.53	3.51	1.598333333	344.5642826	0.105163944
827	CL5	F5	9	17.24333333	5.773333333	20.39	23.18333333	9.623333333	12.93333333	12.68333333	0.018	3.29	3.32	0.99875	340.2973648	0.053669677
525	CL5	F5	11	23.96	7.203333333	25.45333333	29.33	11.77666667	17.67333333	14.79333333	0.033	4.58	4.15	2.392708333	337.905913	0.100433951
805	CL5	F5	11	23.36	6.286666667	22.47333333	28.05	12.06666667	16.27333333	14.49666667	0.033	4.56	4.4	1.8825	310.7162175	0.093831387
1148	CL5	F5	12	22.01	7.093333333	22.31666667	25.81666667	10.16	17.02333333	14.61666667	0.031	4.06	3.98	2.615208333	288.2462471	0.106498865
231	CL5	F5	12	20.92333333	5.956666667	19.76	23.65333333	9.993333333	15.77333333	13.06333333	0.029	4.35	3.91	1.214791667	291.8527002	0.067267242
140	CL5	F5	13	22.02666667	6.51	23.3	27.34333333	10.45	16.52333333	14.66	0.024	4.18	3.59	1.808125	310.2234499	0.079106115
911	CL5	F5	13	22.01333333	7.17	24.66666667	28.25333333	10.5	17.50333333	14.97333333	0.03	4.35	3.83	1.422083333	360.9692465	0.095020187
1274	CL5	F5	15	24.81	7.24	26.72666667	31.34666667	12.59	17.84666667	15.47666667	0.025	3.8	3.76	2.525625	320.5366949	0.129329558
785	CL5	F5	15	24.62666667	6.873333333	25.4	30.09	13.32	17.23	13.99333333	0.021	3.77	3.65	1.509583333	287.4963479	0.125416945
1398	CL5	F5	18	24.31	7.77	24.74	28.34666667	11.09	18.43666667	16.15	0.026	4.6	4.05	2.764791667	372.6692161	0.225349686
