Sp	Line	Ind	NectarVolume	SugarConcentation	TotalSugAmt	NectarySize
CL5	1	1360	1.622708333	320.9370922	538.2177841	0.118372912
CL5	1	280	1.223958333	312.5756666	385.4945203	0.084372858
CL5	7	660	0.970416667	316.5440849	304.7649468	0.047476381
CL5	7	875	1.085625	277.3185365	307.2538341	0.052762154
CL5	8	590	1.595625	313.421384	500.0217743	0.076981097
CL5	8	987	1.279583333	299.1464047	390.2088046	0.064639039
CL5	9	1012	1.598333333	344.5642826	545.2276923	0.105163944
CL5	9	827	0.99875	340.2973648	339.8440949	0.053669677
CL5	11	525	2.392708333	337.905913	831.9022994	0.100433951
CL5	11	805	1.8825	310.7162175	598.4767685	0.093831387
CL5	12	1148	2.615208333	288.2462471	741.3103939	0.106498865
CL5	12	231	1.214791667	291.8527002	353.692853	0.067267242
CL5	13	140	1.808125	310.2234499	570.8003624	0.079106115
CL5	13	911	1.422083333	360.9692465	513.7656851	0.095020187
CL5	15	1274	2.525625	320.5366949	805.0088376	0.129329558
CL5	15	785	1.509583333	287.4963479	430.973807	0.125416945
CL5	18	1398	2.764791667	372.6692161	1051.239282	0.225349686
CL5	18	1401	1.939791667	358.3697981	694.3981068	0.228730324
CL5	19	722	1.181875	305.719458	360.1481071	0.091591368
CL5	19	890	1.596458333	291.761314	465.9345266	0.074895726
CL5	21	474	1.863541667	337.9626782	649.3940941	0.08622267
CL5	21	550	1.462083333	335.1879011	488.3840591	0.103437809
CL5	24	110	2.419375	325.0083321	791.9316747	0.107925274
CL5	24	716	2.963958333	350.2740371	1035.704649	0.133090822
CL5	27	1015	1.84	341.8012361	631.6477175	0.107973928
CL5	27	1172	2.279166667	311.6267322	720.7828361	0.100079229
CL5	29	643	0.734166667	315.7039406	235.9848195	0.135489159
CL5	29	692	1.34	325.8989836	450.3322823	0.124144103
CL5	30	1229	2.910416667	336.6596365	985.1907782	0.120660913
CL5	30	19	1.864375	286.41823	535.2158736	0.092160528
CL5	33	829	2.078125	313.1399559	671.9285667	0.116940268
CL5	33	884	2.320625	348.9529617	811.6173299	0.128777222
CL5	36	682	1.567083333	264.2114692	471.2805217	0.095898645
CL5	36	932	0.449583333	176.5101816	119.4816913	0.066556711
CL5	38	1337	2.57625	350.0165146	911.1393321	0.171766897
CL5	38	691	2.310625	349.6201053	823.496628	0.150652655
CL5	40	1200	1.97375	302.0036444	607.751725	0.133195439
CL5	40	774	1.422083333	321.3041948	485.6045419	0.102454076
CL5	41	130	0.095625	327.4369713	29.99950467	0.058621196
CL5	41	872	1.3275	283.9060463	377.7030078	0.060727704
CL5	42	263	2.11875	353.1228406	743.3058557	0.124819407
CL5	42	57	1.859791667	313.309645	579.6323176	0.111924663
CL5	44	366	1.921458333	358.0558253	687.1789249	0.128879427
CL5	44	824	1.694791667	366.637918	621.6827345	0.114785341
CL5	45	338	1.509791667	313.6074017	473.383681	0.073254102
CL5	45	393	1.01875	368.3603766	348.7414472	0.056790971
CL5	46	1032	1.26625	341.8345902	455.3514345	0.143692156
CL5	46	655	0.413958333	298.9109489	128.6090977	0.086230979
CL5	48	56	1.054791667	277.0033931	291.5802099	0.095630753
CL5	48	9	1.108125	326.2434028	372.7764951	0.111979579
CL5	49	112	2.040416667	375.9955991	786.3542169	0.12140664
CL5	50	199	1.93	344.3930417	668.5761657	0.126082382
CL5	50	521	1.094791667	303.5380067	333.0115262	0.089299944
CL5	52	1405	1.160833333	345.4056297	419.6747983	0.095284959
CL5	52	1408	1.082708333	366.3176278	392.6776876	0.08735059
CL5	53	1021	2.67375	353.0559823	953.8599144	0.150616586
CL5	53	538	1.486875	340.7510689	501.1626703	0.113283129
CL5	55	592	1.667083333	355.3586601	585.5724192	0.114534429
CL5	55	996	2.061041667	316.1954606	652.0201875	0.096892462
CL5	56	646	0.654791667	300.3064566	197.4835644	0.0761535
CL5	56	847	1.648333333	329.1627534	542.6145413	0.120434433
CL5	58	1004	1.127083333	317.1546992	357.6002038	0.110886432
CL5	58	694	1.210416667	321.6350306	386.2631574	0.146600681
CL5	59	355	1.776458333	334.3504337	599.6879047	0.097029926
CL5	59	864	1.98875	332.0550042	669.0488048	0.069368593
CL5	62	1111	2.80125	309.3896984	875.2544311	0.10588329
CL5	62	463	1.773958333	344.1933789	608.8306842	0.122730936
CL5	63	1322	1.495833333	331.8969526	506.5724619	0.080874296
CL5	63	698	0.925833333	263.5548965	247.7139069	0.058826661
CL5	64	457	1.684791667	351.9607071	601.4295109	0.200118081
CL5	64	468	1.472708333	331.8148199	491.3363613	0.120390618
CL5	69	1243	2.492708333	335.2225317	837.5651687	0.10649429
CL5	69	873	1.454583333	296.2629066	432.880319	0.099118809
CL5	70	1069	2.14	390.4342505	831.4401152	0.131564035
CL5	70	155	1.340208333	382.5263751	512.9523826	0.110796604
CL5	71	233	1.273541667	309.2083374	407.7205471	0.093931069
CL5	71	489	1.202708333	282.3285609	371.5682131	0.156235294
CL5	72	1112	1.190208333	320.7631508	391.6941394	0.052080388
CL5	72	954	1.53875	315.2770461	495.039066	0.105497096
CL5	74	362	2.403541667	366.6735795	879.4859156	0.175933066
CL5	74	657	2.01625	365.8195237	740.6640791	0.189824665
CL5	76	1282	1.421041667	332.7186222	466.3233339	0.103039327
CL5	76	372	1.57	328.9358241	516.2714891	0.140655435
CL5	80	1286	0.58625	265.6743568	160.798177	0.063143523
CL5	80	131	0.141666667	258.2083638	35.79912904	0.063249627
CL5	83	1050	0.994166667	323.7515691	316.29707	0.067781171
CL5	83	751	1.07375	282.8791453	309.020256	0.062701439
CL5	84	1063	1.780208333	350.5433947	569.3629473	0.108350645
CL5	84	1087	2.019583333	326.2470487	655.4891316	0.123721232
CL5	86	1113	2.799166667	336.655797	939.4032062	0.104190019
CL5	86	831	2.26875	270.6213484	615.6484021	0.104714805
