PairwiseTraits,gen_corr,pred_corr,bias,avg_total_RHE,Correct_QTL_overlap,QTL_overlap_ITL,avg_total_RHE_ITL,Cat1,Cat2
CorollaThroat-CorollaWidth,0.698,0.512263333,-0.185736667,1.051,0.5,0.5,1.050854481,flower,non-seed
CorollaLength-CorollaWidth,0.635,0.538466811,-0.096533189,0.952,0.3,0.3,0.951991498,flower,non-seed
CorollaWidth-OverallCorollaLength,0.787,0.759443314,-0.027556686,0.976,0.5,0.5,0.975901612,flower,non-seed
CorollaWidth-SepalLength,0.531,0.45320616,-0.07779384,0.9985,0.333333333,0.333333333,0.998419222,flower,non-seed
CorollaWidth-LongestStamenLength,0.672,0.627739879,-0.044260121,0.8845,0.35,0.35,0.884680787,flower,non-seed
CorollaWidth-PistilLength,0.588,0.676005038,0.088005038,1.305,0.391304348,0.391304348,1.305228394,flower,non-seed
CorollaWidth-SeedMass,0.145,-0.391869897,-0.536869897,0.398,0.142857143,0.142857143,0.398268834,flower-seed,seed
CorollaWidth-SeedLength,0.232,-0.403317329,-0.635317329,0.0305,0.428571429,0.428571429,0.030662712,flower-seed,seed
CorollaWidth-SeedWidth,0.162,-0.252532018,-0.414532018,0.52,0.071428571,0.071428571,0.520107957,flower-seed,seed
CorollaWidth-NectarVolume,0.547,0.393942412,-0.153057588,0.8055,0.294117647,0.294117647,0.805532243,flower-nectar,non-seed
CorollaWidth-SugarConcentration,0.26,0.091390826,-0.168609174,0.976,0.142857143,0.142857143,0.975821979,flower-nectar,non-seed
CorollaWidth-NectarySize,0.545,0.336455237,-0.208544763,0.901,0.260869565,0.260869565,0.901272888,flower-nectar,non-seed
CorollaLength-CorollaThroat,0.543,0.547686566,0.004686566,0.955,0.421052632,0.421052632,0.954798947,flower,non-seed
CorollaThroat-OverallCorollaLength,0.589,0.339332431,-0.249667569,0.979,0.333333333,0.333333333,0.978709061,flower,non-seed
CorollaThroat-SepalLength,0.442,0.112085978,-0.329914022,1.0015,0.25,0.25,1.001226671,flower,non-seed
CorollaThroat-LongestStamenLength,0.44,0.416675073,-0.023324927,0.8875,0.333333333,0.333333333,0.887488236,flower,non-seed
CorollaThroat-PistilLength,0.409,0.50264127,0.09364127,1.308,0.375,0.375,1.308035843,flower,non-seed
CorollaThroat-SeedMass,0.166,-0.413168413,-0.579168413,0.401,0.214285714,0.214285714,0.401076283,flower-seed,seed
CorollaThroat-SeedLength,0.288,-0.394909769,-0.682909769,0.0335,0.3125,0.3125,0.033470161,flower-seed,seed
CorollaThroat-SeedWidth,0.127,-0.320752443,-0.447752443,0.523,0.142857143,0.142857143,0.522915406,flower-seed,seed
CorollaThroat-NectarVolume,0.49,0.363902678,-0.126097322,0.8085,0.352941177,0.352941176,0.808339692,flower-nectar,non-seed
CorollaThroat-SugarConcentration,0.36,0.053399023,-0.306600977,0.979,0.25,0.25,0.978629428,flower-nectar,non-seed
CorollaThroat-NectarySize,0.607,0.653052598,0.046052598,0.904,0.578947368,0.578947368,0.904080337,flower-nectar,non-seed
CorollaLength-OverallCorollaLength,0.978,0.846643105,-0.131356895,0.88,0.6875,0.6875,0.879846078,flower,non-seed
CorollaLength-SepalLength,0.335,0.395688186,0.060688186,0.9025,0.6,0.6,0.902363688,flower,non-seed
CorollaLength-LongestStamenLength,0.752,0.769966361,0.017966361,0.7885,0.588235294,0.588235294,0.788625253,flower,non-seed
CorollaLength-PistilLength,0.605,0.763109052,0.158109052,1.209,0.6,0.6,1.20917286,flower,non-seed
CorollaLength-SeedMass,0.185,-0.246973826,-0.431973826,0.302,0.142857143,0.142857143,0.3022133,flower-seed,seed
CorollaLength-SeedLength,0.212,-0.317447582,-0.529447582,-0.0655,0.25,0.25,-0.065392822,flower-seed,seed
CorollaLength-SeedWidth,0.188,-0.18880552,-0.37680552,0.424,0.071428571,0.071428571,0.424052423,flower-seed,seed
CorollaLength-NectarVolume,0.496,0.340837068,-0.155162932,0.7095,0.375,0.375,0.709476709,flower-nectar,non-seed
CorollaLength-SugarConcentration,0.4,0.209972009,-0.190027991,0.88,0.411764706,0.411764706,0.879766445,flower-nectar,non-seed
CorollaLength-NectarySize,0.412,0.282205259,-0.129794741,0.805,0.318181818,0.318181818,0.805217354,flower-nectar,non-seed
OverallCorollaLength-SepalLength,0.417,0.366457045,-0.050542955,0.9265,0.470588235,0.470588235,0.926273801,flower,non-seed
LongestStamenLength-OverallCorollaLength,0.794,0.797248484,0.003248484,0.8125,0.647058824,0.647058824,0.812535367,flower,non-seed
OverallCorollaLength-PistilLength,0.638,0.761998543,0.123998543,1.233,0.571428571,0.571428571,1.233082974,flower,non-seed
OverallCorollaLength-SeedMass,0.143,-0.28477279,-0.42777279,0.326,0.133333333,0.133333333,0.326123414,flower-seed,seed
OverallCorollaLength-SeedLength,0.199,-0.277930813,-0.476930813,-0.0415,0.3125,0.3125,-0.041482709,flower-seed,seed
OverallCorollaLength-SeedWidth,0.158,-0.218341323,-0.376341323,0.448,0.066666667,0.066666667,0.447962537,flower-seed,seed
NectarVolume-OverallCorollaLength,0.542,0.381541469,-0.160458531,0.7335,0.4375,0.4375,0.733386823,flower-nectar,non-seed
