PairwiseTraits,gen_corr,correct pred_corr,correct bias,Correct ave_total_RHE,Correct QTL_overlap,QTL_overlap_ITL,avg_total_RHE_ITL,Cat1
CorollaThroat-CorollaWidth,0.698,0.261199406,-0.436800594,0.8203,0.142857143,0.142857143,0.820301586,flower
CorollaLength-CorollaWidth,0.635,0.396569406,-0.238430594,0.76385,0.2,0.2,0.763849023,flower
CorollaWidth-OverallCorollaLength,0.787,0.720522976,-0.066477024,0.6781,0.545454546,0.545454545,0.678132655,flower
CorollaWidth-SepalLength,0.531,0.367338599,-0.163661401,0.9299,0.1875,0.176470588,0.929910045,flower
CorollaWidth-LongestStamenLength,0.672,0.494452752,-0.177547248,0.59335,0.307692308,0.307692308,0.59337421,flower
CorollaWidth-PistilLength,0.588,0.56450321,-0.02349679,0.83805,0.263157895,0.263157895,0.83804376,flower
CorollaWidth-NectarVolume,0.547,0.282781024,-0.264218976,0.48655,0.1,0.1,0.486573967,flower-nectar
CorollaWidth-SugarConcentration,0.26,0,-0.26,0.68985,0,0,0.689884303,flower-nectar
CorollaWidth-NectarySize,0.545,0.101487523,-0.443512477,0.56645,0.055555556,0.055555556,0.56645674,flower-nectar
CorollaLength-CorollaThroat,0.543,0.370906154,-0.172093846,0.85815,0.2,0.2,0.858119745,flower
CorollaThroat-OverallCorollaLength,0.589,0.341488619,-0.247511382,0.7724,0.214285714,0.214285714,0.772403377,flower
CorollaThroat-SepalLength,0.442,0.239132104,-0.202867896,1.0242,0.117647059,0.111111111,1.024180767,flower
CorollaThroat-LongestStamenLength,0.44,0.461059606,0.021059606,0.68765,0.307692308,0.307692308,0.687644932,flower
CorollaThroat-PistilLength,0.409,0.341078519,-0.067921481,0.93235,0.2,0.2,0.932314482,flower
CorollaThroat-NectarVolume,0.49,0.251890893,-0.238109107,0.58085,0.1,0.1,0.580844689,flower-nectar
CorollaThroat-SugarConcentration,0.36,0.144466165,-0.215533835,0.78415,0.076923077,0.076923077,0.784155025,flower-nectar
CorollaThroat-NectarySize,0.607,0.173156552,-0.433843448,0.66075,0.117647059,0.117647059,0.660727462,flower-nectar
CorollaLength-OverallCorollaLength,0.978,0.835269158,-0.142730842,0.71595,0.583333333,0.583333333,0.715950813,flower
CorollaLength-SepalLength,0.335,0.208942742,-0.126057258,0.96775,0.235294118,0.222222222,0.967728203,flower
CorollaLength-LongestStamenLength,0.752,0.712442308,-0.039557692,0.6312,0.461538462,0.461538462,0.631192368,flower
CorollaLength-PistilLength,0.605,0.75033217,0.14533217,0.8759,0.368421053,0.368421053,0.875861919,flower
CorollaLength-NectarVolume,0.496,0.173685462,-0.322314539,0.5244,0.083333333,0.083333333,0.524392126,flower-nectar
CorollaLength-SugarConcentration,0.4,0.244745938,-0.155254062,0.7277,0.142857143,0.142857143,0.727702462,flower-nectar
CorollaLength-NectarySize,0.412,0.19260807,-0.219391931,0.6043,0.166666667,0.166666667,0.604274898,flower-nectar
OverallCorollaLength-SepalLength,0.417,0.376735822,-0.040264178,0.882,0.25,0.235294118,0.882011835,flower
LongestStamenLength-OverallCorollaLength,0.794,0.71706518,-0.07693482,0.54545,0.5,0.5,0.545476,flower
OverallCorollaLength-PistilLength,0.638,0.639622741,0.001622741,0.79015,0.315789474,0.315789474,0.790145551,flower
NectarVolume-OverallCorollaLength,0.542,0.336260526,-0.205739474,0.43865,0.2,0.2,0.438675758,flower-nectar
OverallCorollaLength-SugarConcentration,0.329,0.173927508,-0.155072492,0.64195,0.071428571,0.071428571,0.641986094,flower-nectar
NectarySize-OverallCorollaLength,0.445,0.168998204,-0.276001796,0.51855,0.111111111,0.111111111,0.51855853,flower-nectar
LongestStamenLength-SepalLength,0.314,0.127144821,-0.186855179,0.79725,0.111111111,0.105263158,0.79725339,flower
PistilLength-SepalLength,0.392,0.273410058,-0.118589943,1.04195,0.173913044,0.166666667,1.041922941,flower
NectarVolume-SepalLength,0.381,0.240623852,-0.140376148,0.69045,0.166666667,0.153846154,0.690453148,flower-nectar
SepalLength-SugarConcentration,0.266,0,-0.266,0.89375,0,0,0.893763484,flower-nectar
NectarySize-SepalLength,0.465,0.290697625,-0.174302375,0.77035,0.294117647,0.277777778,0.77033592,flower-nectar
LongestStamenLength-PistilLength,0.641,0.669343367,0.028343367,0.7054,0.388888889,0.388888889,0.705387106,flower
LongestStamenLength-NectarVolume,0.562,0.18388714,-0.37811286,0.3539,0.090909091,0.090909091,0.353917313,flower-nectar
LongestStamenLength-SugarConcentration,0.439,0.289144469,-0.149855531,0.5572,0.153846154,0.153846154,0.557227649,flower-nectar
LongestStamenLength-NectarySize,0.446,0.224478674,-0.221521326,0.4338,0.176470588,0.176470588,0.433800085,flower-nectar
NectarVolume-PistilLength,0.463,0.160824172,-0.302175828,0.5986,0.055555556,0.055555556,0.598586863,flower-nectar
PistilLength-SugarConcentration,0.291,0.08063282,-0.21036718,0.8019,0.047619048,0.047619048,0.801897199,flower-nectar
NectarySize-PistilLength,0.395,0.187737116,-0.207262884,0.6785,0.125,0.125,0.678469636,flower-nectar
NectarVolume-SugarConcentration,0.646,0,-0.646,0.4504,0,0,0.450427406,nectar
NectarVolume-NectarySize,0.698,0.412029394,-0.285970606,0.327,0.272727273,0.272727273,0.326999843,nectar
NectarySize-SugarConcentration,0.648,0.124716729,-0.523283271,0.5303,0.0625,0.0625,0.530310179,nectar
