RIL_LN	QTL_LN
-11.23151301	-12.95348245
-7.195437351	-8.634188969
-7.50559228	-9.224139201
-2.445301395	-3.278215751
-3.08020143	-4.887029329
-3.05442127	-4.952632225
6.390072868	6.257704134
1.842000961	-0.737683631
-0.956071602	-1.261461019
1.360412291	-0.150689744
2.289373199	1.288809851
1.233172319	-0.640329698
2.148203553	1.964285924
2.315293992	1.924967649
2.524031204	1.872050981
2.534878655	2.116590913
-1.831332244	-2.071179864
-4.990832667	-5.429390852
-2.393056996	-2.481656194
-1.078809661	-1.433541564
-2.570464538	-2.925758354
-1.497672949	-2.114412775
-1.548107657	-2.15896324
-1.371799915	-1.812931503
-1.075139932	-1.510122662
-7.418580903	-4.114026846
-4.998212774	-5.054012478
-3.882464203	-4.082336317
-5.158555424	-4.879570911
-4.456750181	-4.20124665
-4.580477573	-4.500217825
-4.358310108	-4.426551715
-4.074541935	-4.364022708
-1.02443289	-1.169304618
-0.705320981	-0.77992799
-2.268666875	-3.754578323
-1.260366805	-1.042903628
-1.726814781	-1.639609218
-1.36004199	-1.239123922
-0.934327419	-0.965853094
0.880477008	1.151656317
-0.859792258	-0.951465274
0.096899825	0.590891658
-0.012983928	0.098766405
0.230556011	0.328559701
0.652871912	0.856037647
-1.881903019	-1.702320312
-1.646620704	-1.28554165
-1.818616923	-1.710413829
-1.306559393	-1.214321397
-1.017354934	-1.37246635
0.374696574	0.735258136
-0.312726414	0.012312488
-0.070905414	0.461280857
0.190455057	0.711364308
-0.111881733	0.014411623
-0.095520202	0.087846546
0.165641549	0.312537607
0.489806257	0.72725875
0.675212308	0.756888079
0.905533075	1.125543486
