Family	Ind	Accession	Sp	F2G	Rep	Seed Mass	Seed Length	Seed Width	Seed L/W Ratio
R17	1	L	LS	S1	13	0.03	4.54	4.16	1.091
R17	2	CL5	F5	355	D	0.03	4.22	4.56	0.925
R17	3	CL5	F5	117s	C	0.027	4.25	3.83	1.11
R17	4	CL5	F5	229	C	0.03	4.8	4.25	1.129
R17	5	CL5	F5	295	B	0.028	4.49	4.42	1.016
R17	6	CL5	F5	447	D	0.023	4.23	3.83	1.104
R17	7	CL5	F5	434	A	0.025	3.9	3.67	1.063
R17	8	CL5	F5	227	B	0.039	4.81	4.2	1.145
R17	9	CL5	F5	48	A	0.034	4.36	4.35	1.002
R17	10	CL5	F5	472	C	0.027	4.43	4.15	1.067
R17	11	L	LS	S1	42	0.035	4.98	4.33	1.15
R17	12	CL5	F5	18	D	0.024	4.57	3.89	1.175
R17	13	CL5	F5	424	D	0.024	3.96	3.54	1.119
R17	14	CL5	F5	196	A	0.035	5.4	4.32	1.25
R17	15	CL5	F5	24	C	0.032	4.21	4.01	1.05
R17	16	CL5	F5	442	D	0.022	4.33	3.52	1.23
R17	17	CL5	F5	283	B	0.027	4.23	4.2	1.007
R17	18	C	LS	S1	21	0.021	3.99	3.53	1.13
R17	19	CL5	F5	30	A	0.025	4.21	4.04	1.042
R17	20	CL5	F5	461b	A	0.031	4.35	3.79	1.148
R17	21	CL5	F5	506	C	0.032	5.03	4.32	1.164
R17	22	CL5	F5	423	C	0.028	4.56	3.92	1.163
R17	23	CL5	F5	158	A	0.036	4.25	3.8	1.118
R17	24	CL5	F5	233	B	0.022	4.25	4.13	1.029
R17	25	CL5	F5	279	B	0.024	4.46	4	1.115
R17	26	CL5	F5	137	C	0.029	3.96	3.69	1.073
R17	27	CL5	F5	189d	A	0.032	4.55	4.07	1.118
R17	28	CL5	F5	340b	B	0.011	3.73	3.43	1.087
R17	29	CL5	F5	358	B	0.034	4.76	4.38	1.087
R17	30	CL5	F5	483	A	0.026	4.41	3.88	1.137
R17	31	CL5	F5	344	D	0.032	4.94	4.27	1.157
R17	32	CL5	F5	139	D	0.027	4.12	3.83	1.076
R17	33	CL5	F5	118	B	0.033	4.57	4.05	1.128
R17	34	CL5	F5	409s	C	0.01	3.98	3.52	1.131
R17	35	CL5	F5	180	B	0.034	4.66	4.32	1.079
R17	36	CL5	F5	41	D	0.026	4.31	4.01	1.075
R17	37	CL5	F5	431b	B	0.032	4.24	4.18	1.014
R17	38	C	LS	S1	18	0.028	4.44	3.98	1.116
R17	39	CL5	F5	353	D	0.027	4.51	3.95	1.142
R17	40	CL5	F5	418	B	0.028	4.1	3.63	1.129
R17	41	CL5	F5	52	A	0.019	3.75	3.54	1.059
R17	42	CL5	F5	506	D	0.033	5.1	4.27	1.194
R17	43	CL5	F5	255	C	0.025	4.6	3.93	1.17
R17	44	CL5	F5	292	C	0.035	4.73	4.02	1.177
R17	45	CL5	F5	387b	C	0.018	3.68	3.56	1.034
R17	46	CL5	F5	1	D	0.031	4.59	4.03	1.139
R17	47	CL5	F5	415	C	0.03	4.44	4.16	1.067
R17	48	CL5	F5	238	A	0.031	5.06	4.17	1.213
R17	49	CL5	F5	421	B	0.024	3.82	3.77	1.013
R17	50	CL5	F5	281	D	0.027	4.68	4.11	1.139
R17	51	CL5	F5	407	D	0.025	4.16	3.66	1.137
R17	52	C	LS	S1	11	0.026	4.29	3.78	1.135
R17	53	CL5	F5	363	B	0.023	4.36	3.97	1.098
R17	54	CL5	F5	108	A	0.027	4.17	4.05	1.03
R17	55	CL5	F5	506	A	0.028	5.05	3.98	1.269
R17	56	CL5	F5	48	C	0.026	4.16	4.33	0.961
R17	57	CL5	F5	42	C	0.034	4.87	4.14	1.176
R17	58	CL5	F5	202	A	0.032	4.61	4.05	1.138
R17	59	CL5	F5	186	A	0.032	4.52	4.32	1.046
R17	60	CL5	F5	99	B	0.025	4.02	3.96	1.015
R17	61	CL5	F5	185s	A	0.024	4.07	3.78	1.077
R17	62	CL5	F5	228s	A	0.035	5.1	4.59	1.111
R17	63	CL5	F5	294	C	0.029	4.16	3.77	1.103
R17	64	CL5	F5	119s	A	0.027	4.4	3.83	1.149
R17	65	CL5	F5	289s	A	0.031	4.3	3.77	1.141
R17	66	CL5	F5	383	D	0.022	4.09	3.63	1.127
R17	67	CL5	F5	197	D	0.025	4.53	3.93	1.153
R17	68	CL5	F5	138	B	0.026	3.98	3.88	1.026
R17	69	CL5	F5	105	A	0.024	4.59	3.84	1.195
R17	70	CL5	F5	502	C	0.024	4.26	3.72	1.145
R17	71	CL5	F5	56	D	0.029	4.63	4.04	1.146
R17	72	CL5	F5	136	A	0.03	4.65	4.09	1.137
R17	73	C	LS	S1	34	0.023	4.14	3.81	1.087
R17	74	CL5	F5	222	D	0.028	4.24	4.17	1.017
R17	75	CL5	F5	396	B	0.027	4.31	3.86	1.117
R17	76	CL5	F5	434	D	0.025	4.11	3.93	1.046
R17	77	CL5	F5	44	C	0.02	4.13	4.14	0.998
R17	78	CL5	F5	136	D	0.028	4.6	3.99	1.153
R17	79	C	LS	S1	12	0.019	3.99	3.51	1.137
R17	80	CL5	F5	9	D	0.017	3.3	3.32	0.994
R17	81	CL5	F5	081d	A	0.029	4.64	3.75	1.237
R17	82	CL5	F5	112	C	0.031	4.31	3.85	1.119
R17	83	CL5	F5	287	D	0.026	4.58	3.83	1.196
R17	84	CL5	F5	386s	B	0.027	4.37	3.78	1.156
R17	85	CL5	F5	364s	B	0.029	4.92	4.28	1.15
R17	86	CL5	F5	141	A	0.029	4.3	3.76	1.144
R17	87	CL5	F5	330	C	0.023	3.74	3.65	1.025
R17	88	CL5	F5	291	B	0.025	4.22	3.78	1.116
R17	89	CL5	F5	220	D	0.035	4.78	4.1	1.166
R17	90	CL5	F5	433s	D	0.028	4.21	3.68	1.144
R17	91	CL5	F5	11	D	0.034	4.57	4.24	1.078
R17	92	CL5	F5	417	D	0.023	4.08	3.5	1.166
R17	93	CL5	F5	482	D	0.023	4.05	3.76	1.077
R17	94	CL5	F5	495s	C	0.026	4.4	4.11	1.071
R17	95	CL5	F5	454	A	0.029	4.53	4.14	1.094
R17	96	CL5	F5	290	A	0.034	4.97	4.14	1.2
R17	97	CL5	F5	338b	D	0.025	4.08	3.47	1.176
R17	98	CL5	F5	355	A	0.029	4.01	4.11	0.976
R17	99	L	LS	S1	43	0.031	4.85	4.18	1.16
R17	100	CL5	F5	500	B	0.031	4.59	4.05	1.133
R17	101	CL5	F5	48	D	0.036	4.48	4.2	1.067
R17	102	CL5	F5	075s	A	0.029	4.52	3.99	1.133
R17	103	CL5	F5	132	A	0.031	4.54	3.95	1.149
R17	104	CL5	F5	138	C	0.03	4.17	4.22	0.988
R17	105	CL5	F5	220	B	0.027	4.87	4.13	1.179
R17	106	CL5	F5	287	A	0.029	4.62	3.98	1.161
R17	107	C	LS	S1	35	0.027	4.39	3.94	1.114
R17	108	CL5	F5	203	B	0.031	4.52	4.32	1.046
R17	109	L	LS	S1	12	0.031	4.71	4.2	1.121
R17	110	CL5	F5	24	A	0.032	3.91	4.09	0.956
R17	111	CL5	F5	184	B	0.027	4.44	4.01	1.107
R17	112	CL5	F5	49	A	0.04	5.1	4.33	1.178
R17	113	CL5	F5	093s	A	0.037	4.32	3.94	1.096
R17	114	CL5	F5	391	A	0.032	4.66	3.97	1.174
R17	115	CL5	F5	207	B	0.024	4.88	3.73	1.308
R17	116	CL5	F5	369s	C	0.029	4.25	4.08	1.042
R17	117	CL5	F5	41	C	0.025	4.27	4.37	0.977
R17	118	CL5	F5	264	D	0.026	4.29	3.83	1.12
R17	119	CL5	F5	452	D	0.023	3.91	3.55	1.101
R17	120	CL5	F5	143	D	0.03	4.37	4.04	1.082
R17	121	CL5	F5	74	A	0.032	4.84	4.19	1.155
R17	122	CL5	F5	368	A	0.027	4.33	3.91	1.107
R17	123	C	LS	S1	42	0.027	4.41	3.86	1.142
R17	124	CL5	F5	157	D	0.03	4.58	3.86	1.187
R17	125	CL5	F5	491b	B	0.026	4.34	4	1.085
R17	126	CL5	F5	155	B	0.031	4.44	3.96	1.121
R17	127	CL5	F5	130	C	0.028	4.36	4.2	1.038
R17	128	CL5	F5	434	C	0.022	3.83	3.76	1.019
R17	129	CL5	F5	361	D	0.024	4.32	3.91	1.105
R17	130	CL5	F5	41	A	0.024	4.22	3.88	1.088
R17	131	CL5	F5	80	C	0.029	4.2	3.85	1.091
R17	132	CL5	F5	200	A	0.025	4.39	3.82	1.149
R17	133	CL5	F5	459	C	0.031	4.98	4.46	1.117
R17	134	CL5	F5	192	A	0.034	4.87	4.48	1.087
R17	135	CL5	F5	288	A	0.026	4.66	3.82	1.22
R17	136	CL5	F5	92	D	0.038	4.76	4.06	1.172
R17	137	CL5	F5	385	D	0.027	4.31	3.94	1.094
R17	138	CL5	F5	209	D	0.031	4.21	4.08	1.032
R17	139	CL5	F5	368	D	0.029	4.49	4.11	1.092
R17	140	CL5	F5	13	B	0.024	4.18	3.59	1.164
R17	141	CL5	F5	258	A	0.028	4.44	3.71	1.197
R17	142	CL5	F5	19	A	0.029	4.39	4	1.098
R17	143	CL5	F5	126	C	0.034	4.8	4.42	1.086
R17	144	CL5	F5	453s	C	0.023	4.44	3.93	1.13
R17	145	CL5	F5	090b	B	0.028	4.34	3.93	1.104
R17	146	CL5	F5	491b	A	0.026	4.38	4	1.095
R17	147	CL5	F5	237	B	0.027	4.66	4.02	1.159
R17	148	CL5	F5	480s	A	0.02	4.27	4.17	1.024
R17	149	CL5	F5	184	D	0.035	4.69	4.18	1.122
R17	150	CL5	F5	493s	B	0.027	4.38	3.99	1.098
R17	151	CL5	F5	418	A	0.028	4.21	3.78	1.114
R17	152	CL5	F5	152	B	0.037	4.69	4.23	1.109
R17	153	CL5	F5	407	B	0.029	4.37	3.74	1.168
R17	154	CL5	F5	274	B	0.03	4.4	4.32	1.019
R17	155	CL5	F5	70	B	0.025	4.1	3.52	1.165
R17	156	CL5	F5	281	C	0.032	4.9	4.2	1.167
R17	157	L	LS	S1	31	0.029	4.45	4.66	0.955
R17	158	CL5	F5	333	A	0.028	3.98	3.65	1.09
R17	159	CL5	F5	121	D	0.026	4.06	3.6	1.128
R17	160	CL5	F5	59	D	0.026	4.6	3.9	1.179
R17	161	CL5	F5	186	B	0.032	4.74	4.3	1.102
R17	162	CL5	F5	415	B	0.027	4.5	4.16	1.082
R17	163	CL5	F5	287	B	0.028	4.52	4.06	1.113
R17	164	CL5	F5	482	B	0.03	4.45	4.07	1.093
