Date	Time	Sp	Ind	Infl_pos	Cor_Width	Cor_Throat	Cor_Base	Cor_Len	Cor_Th_Len	Cor_Len_Var	Sepal_Len	Min_Fil_Len	Max_Fil_Len	Pistil_Len	Ovary_Height	Stigma_Height	OV/P_Ratio	SH/P_Ratio	MiF-P_dis	MaF-P_dis	MiF-P_dis/L	MaF-P_dis/L	PL/L_ratio	PL/LV_ratio	L/W_Ratio	LV/W_Ratio	L/LV_Ratio	B/W_Ratio	TW/W_Ratio	B/TW_Ratio	TL/L_Ratio	TL/LV_Ratio	TL/TW_Ratio
1/30/18	10:56:00	L	1	1	16.53	5.68	2.27	16.96	11.96	19.67	10.71	10.3	12.63	10.89	1.3	0.93	0.119	0.085	-0.59	1.74	-0.035	0.103	0.642	0.554	1.026	1.190	0.862	0.137	0.344	0.400	0.705	0.608	2.106
2/16/18	9:34:00	L	1	1	15.93	4.77	2.29	16.67	11.36	19.3	9.6	10.01	11.63	10.44	1.34	0.94	0.128	0.090	-0.43	1.19	-0.026	0.071	0.626	0.541	1.046	1.212	0.864	0.144	0.299	0.480	0.681	0.589	2.382
2/14/18	9:42:00	L	1	2	14.67	5.01	2.14	16.5	11.22	18.19	9.87	10.04	12.21	9.97	1.57	0.92	0.157	0.092	0.07	2.24	0.004	0.136	0.604	0.548	1.125	1.240	0.907	0.146	0.342	0.427	0.680	0.617	2.240
4/28/18	9:35:00	F5	5	1	22.91	6.49	2.53	23.64	14.71	27.64	11.2	13.58	16.59	14.38	1.43	0.95	0.099	0.066	-0.8	2.21	-0.034	0.093	0.608	0.520	1.032	1.206	0.855	0.110	0.283	0.390	0.622	0.532	2.267
4/20/18	9:58:00	F5	5	1	21.45	7.94	2.87	23.67	16.35	28.4	10.25	13.1	16.31	14.43	1.29	0.94	0.089	0.065	-1.33	1.88	-0.056	0.079	0.610	0.508	1.103	1.324	0.833	0.134	0.370	0.361	0.691	0.576	2.059
4/4/18	10:48:00	F5	5	1	17.23	6.28	2.65	18.92	12.99	22.1	8.5	11.28	13.81	10.91	1.1	0.92	0.101	0.084	0.37	2.9	0.020	0.153	0.577	0.494	1.098	1.283	0.856	0.154	0.364	0.422	0.687	0.588	2.068
11/28/17	9:51:00	F5	9	2	24.82	6.65	2.61	22.12	14.87	28.03	10.32	15.62	18.13	14.33	1.72	1.02	0.120	0.071	1.29	3.8	0.058	0.172	0.648	0.511	0.891	1.129	0.789	0.105	0.268	0.392	0.672	0.531	2.236
1/30/18	11:07:00	F5	9	1	24.5	7.22	2.52	24.22	15.54	28.74	9.8	14.03	16.94	13.5	1.45	0.91	0.107	0.067	0.53	3.44	0.022	0.142	0.557	0.470	0.989	1.173	0.843	0.103	0.295	0.349	0.642	0.541	2.152
1/31/18	9:29:00	F5	9	3	23.49	6.35	2.58	24.51	15.47	27.76	10.66	14.12	15.78	13.33	1.55	0.95	0.116	0.071	0.79	2.45	0.032	0.100	0.544	0.480	1.043	1.182	0.883	0.110	0.270	0.406	0.631	0.557	2.436
3/7/18	9:37:00	L	11	1	16.25	4.88	2.67	16.77	11.46	19.94	9.54	10.76	12.45	10.16	1.38	0.86	0.136	0.085	0.6	2.29	0.036	0.137	0.606	0.510	1.032	1.227	0.841	0.164	0.300	0.547	0.683	0.575	2.348
2/25/18	10:34:00	L	11	1	15.18	5.18	2.24	16.47	10.68	18.88	10.81	9.77	12.61	10.4	1.39	0.87	0.134	0.084	-0.63	2.21	-0.038	0.134	0.631	0.551	1.085	1.244	0.872	0.148	0.341	0.432	0.648	0.566	2.062
2/23/18	10:57:00	L	11	1	13.9	5.09	2.35	15.37	11.46	17.77	10.32	9.02	11.59	8.81	1.36	0.8	0.154	0.091	0.21	2.78	0.014	0.181	0.573	0.496	1.106	1.278	0.865	0.169	0.366	0.462	0.746	0.645	2.251
12/9/17	10:46:00	F5	14	1	22.91	6.79	2.77	24.32	15.99	28.12	11.45	13.58	16.98	14.31	1.45	0.98	0.101	0.068	-0.73	2.67	-0.030	0.110	0.588	0.509	1.062	1.227	0.865	0.121	0.296	0.408	0.657	0.569	2.355
12/7/17	10:53:00	F5	14	1	24	6.23	2.63	24.52	15.91	28.89	10.94	14.58	18.25	16.06	1.52	1.04	0.095	0.065	-1.48	2.19	-0.060	0.089	0.655	0.556	1.022	1.204	0.849	0.110	0.260	0.422	0.649	0.551	2.554
11/24/17	10:42:00	F5	14	1	23.91	7	2.74	24.07	14.31	29.32	11.38	14.15	17.23	14.44	1.85	1.03	0.128	0.071	-0.29	2.79	-0.012	0.116	0.600	0.492	1.007	1.226	0.821	0.115	0.293	0.391	0.595	0.488	2.044
11/9/17	10:11:00	F5	16	1	22.77	5.97	2.39	21.81	13.44	25.88	12.18	14.64	17.41	16.65	1.73	1.06	0.104	0.064	-2.01	0.76	-0.092	0.035	0.763	0.643	0.958	1.137	0.843	0.105	0.262	0.400	0.616	0.519	2.251
5/21/18	9:47:00	F5	16	1	24.44	6.56	2.59	22.64	16.28	27.73	9.74	14.38	17.32	16.65	1.54	0.96	0.092	0.058	-2.27	0.67	-0.100	0.030	0.735	0.600	0.926	1.135	0.816	0.106	0.268	0.395	0.719	0.587	2.482
5/23/18	10:13:00	F5	16	1	24.72	7.14	2.79	23.99	15.86	29.1	11.66	14.69	17.69	16.7	1.51	1.02	0.090	0.061	-2.01	0.99	-0.084	0.041	0.696	0.574	0.970	1.177	0.824	0.113	0.289	0.391	0.661	0.545	2.221
4/25/18	9:56:00	F5	17	1	22.83	6.51	2.33	24.23	15.25	29.05	10.02	12.85	15.01	14.55	1.52	0.89	0.104	0.061	-1.7	0.46	-0.070	0.019	0.600	0.501	1.061	1.272	0.834	0.102	0.285	0.358	0.629	0.525	2.343
4/22/18	11:46:00	F5	17	1	21.09	6.25	2.48	23.16	14.82	27.42	9.95	12.64	14.95	13.9	1.58	0.82	0.114	0.059	-1.26	1.05	-0.054	0.045	0.600	0.507	1.098	1.300	0.845	0.118	0.296	0.397	0.640	0.540	2.371
4/12/18	9:40:00	F5	17	1	20.19	5.68	2.41	21.94	14.67	24.92	9.84	11.5	13.59	13.56	1.57	0.87	0.116	0.064	-2.06	0.03	-0.094	0.001	0.618	0.544	1.087	1.234	0.880	0.119	0.281	0.424	0.669	0.589	2.583
3/26/18	9:50:00	F5	20	2	24.04	6.01	2.86	22.51	13.66	28.14	9.47	14.51	17.32	13.45	1.53	1	0.114	0.074	1.06	3.87	0.047	0.172	0.598	0.478	0.936	1.171	0.800	0.119	0.250	0.476	0.607	0.485	2.273
4/12/18	9:43:00	F5	20	1	27.14	6.81	2.65	24.62	15.9	29.55	11.14	14.36	17.87	13.31	1.61	0.86	0.121	0.065	1.05	4.56	0.043	0.185	0.541	0.450	0.907	1.089	0.833	0.098	0.251	0.389	0.646	0.538	2.335
3/30/18	10:23:00	F5	20	1	27.22	6.64	2.82	24.18	15.56	30.38	11.52	16.23	19.11	13.97	1.44	0.91	0.103	0.065	2.26	5.14	0.093	0.213	0.578	0.460	0.888	1.116	0.796	0.104	0.244	0.425	0.644	0.512	2.343
11/14/17	10:37:00	F5	21	1	24.22	6.53	2.7	24.28	16.18	28.96	11.7	16.54	18.36	19.58	1.73	1.14	0.088	0.058	-3.04	-1.22	-0.125	-0.050	0.806	0.676	1.002	1.196	0.838	0.111	0.270	0.413	0.666	0.559	2.478
2/7/18	10:21:00	F5	21	1	25.57	6.33	2.78	23.44	15.83	27.85	11.55	15.21	17.7	17.03	1.63	0.95	0.096	0.056	-1.82	0.67	-0.078	0.029	0.727	0.611	0.917	1.089	0.842	0.109	0.248	0.439	0.675	0.568	2.501
1/30/18	11:10:00	F5	21	1	23.14	6.03	2.66	21.28	13.83	25.71	12.2	14.69	17.21	17.56	1.5	0.88	0.085	0.050	-2.87	-0.35	-0.135	-0.016	0.825	0.683	0.920	1.111	0.828	0.115	0.261	0.441	0.650	0.538	2.294
4/22/18	11:48:00	F5	26	1	22.03	6.16	2.4	21.13	14.06	25.77	11.14	12.35	14.88	12.59	1.37	0.88	0.109	0.070	-0.24	2.29	-0.011	0.108	0.596	0.489	0.959	1.170	0.820	0.109	0.280	0.390	0.665	0.546	2.282
11/5/17	11:02:00	F5	26	1	19.12	6.31	2.28	23.48	15.1	26.25	11.08	13.46	16.87	13.48	1.59	1.03	0.118	0.076	-0.02	3.39	-0.001	0.144	0.574	0.514	1.228	1.373	0.894	0.119	0.330	0.361	0.643	0.575	2.393
4/20/18	10:06:00	F5	26	1	21.42	5.61	2.49	20.69	13.72	24.81	10.83	11.97	14.84	13.18	1.35	0.9	0.102	0.068	-1.21	1.66	-0.058	0.080	0.637	0.531	0.966	1.158	0.834	0.116	0.262	0.444	0.663	0.553	2.446
4/25/18	9:59:00	F5	27	1	25.69	7.46	2.74	22.31	15.46	28.75	11.29	13.89	16.64	15.08	1.45	1.11	0.096	0.074	-1.19	1.56	-0.053	0.070	0.676	0.525	0.868	1.119	0.776	0.107	0.290	0.367	0.693	0.538	2.072
4/27/18	9:44:00	F5	27	1	25.54	7.95	2.73	21.72	15.99	28.51	12.32	13.73	16.19	15.11	1.43	0.98	0.095	0.065	-1.38	1.08	-0.064	0.050	0.696	0.530	0.850	1.116	0.762	0.107	0.311	0.343	0.736	0.561	2.011
4/22/18	11:52:00	F5	27	1	24.19	7.16	2.82	20.52	14.31	26.76	12.59	13.17	15.84	14.98	1.3	0.97	0.087	0.065	-1.81	0.86	-0.088	0.042	0.730	0.560	0.848	1.106	0.767	0.117	0.296	0.394	0.697	0.535	1.999
4/25/18	10:03:00	F5	29	1	26.23	6.41	2.49	27.64	17.12	33.18	11.4	14.68	18.05	13.38	1.53	1	0.114	0.075	1.3	4.67	0.047	0.169	0.484	0.403	1.054	1.265	0.833	0.095	0.244	0.388	0.619	0.516	2.671
3/26/18	9:54:00	F5	29	1	19.86	6.76	2.47	23.26	16.03	28.37	10.36	14	16.23	13.35	1.41	0.93	0.106	0.070	0.65	2.88	0.028	0.124	0.574	0.471	1.171	1.428	0.820	0.124	0.340	0.365	0.689	0.565	2.371
3/30/18	10:26:00	F5	29	1	23.46	6.55	2.56	27.29	16.54	31.88	10.54	14.06	17.58	14.07	1.45	1.09	0.103	0.077	-0.01	3.51	0.000	0.129	0.516	0.441	1.163	1.359	0.856	0.109	0.279	0.391	0.606	0.519	2.525
10/30/17	9:33:00	F5	31	1	23.02	7.84	3.05	22.44	14.72	26.01	10.47	14.55	17.49	15.4	1.39	1.16	0.090	0.075	-0.85	2.09	-0.038	0.093	0.686	0.592	0.975	1.130	0.863	0.132	0.341	0.389	0.656	0.566	1.878
11/24/17	10:47:00	F5	31	2	22.65	6.56	2.81	24.78	14.16	27.66	11.77	14.12	17.64	15.14	1.85	1.06	0.122	0.070	-1.02	2.5	-0.041	0.101	0.611	0.547	1.094	1.221	0.896	0.124	0.290	0.428	0.571	0.512	2.159
11/26/17	11:25:00	F5	31	3	23.46	7.29	2.84	23.63	13.81	28.24	12.21	15.02	18.34	15.14	2.01	1.01	0.133	0.067	-0.12	3.2	-0.005	0.135	0.641	0.536	1.007	1.204	0.837	0.121	0.311	0.390	0.584	0.489	1.894
11/14/17	11:55:00	F5	32	1	24.97	7.18	2.46	26.57	16.78	30.11	11.34	16.15	18.39	14.69	1.8	1.05	0.123	0.071	1.46	3.7	0.055	0.139	0.553	0.488	1.064	1.206	0.882	0.099	0.288	0.343	0.632	0.557	2.337
11/22/17	11:21:00	F5	32	1	18.24	6.87	2.82	23.47	13.84	25.53	9.66	13.88	16.42	12.4	1.8	0.88	0.145	0.071	1.48	4.02	0.063	0.171	0.528	0.486	1.287	1.400	0.919	0.155	0.377	0.410	0.590	0.542	2.015
11/18/17	11:32:00	F5	32	1	20.21	6.28	2.69	22.46	14	26.14	10.89	13.54	16.3	13.22	1.62	0.94	0.123	0.071	0.32	3.08	0.014	0.137	0.589	0.506	1.111	1.293	0.859	0.133	0.311	0.428	0.623	0.536	2.229
5/1/18	10:15:00	F5	35	1	23.03	6.12	2.65	20.78	14.18	25.93	10.8	14.16	16.89	15.98	1.45	0.99	0.091	0.062	-1.82	0.91	-0.088	0.044	0.769	0.616	0.902	1.126	0.801	0.115	0.266	0.433	0.682	0.547	2.317
