Date	Number	Time	Sp	Ind	Infl_pos	Cor_Len_Var	Nectar_UNC	Nectar_CON	Sugar_UND	Sugar_D+2.5	Sugar (UNDc; mg/mL)	"Sugar (D_2.5_c), mg/mL"	"Sugar (D, c, mg/mL)"	SugConAvg(mg/ml)	TotalSugAmt	Time Removed
2/1/18	5	9:32:00 AM	L	1	1	15	0.61	0.038125	0	0.5	0	6.2312	414.8344787	414.8344787	15.8155645	9:09-9:12
11/12/17	20	11:27:00 AM	L	1	1	19.23	4.39	0.274375	19.8	2	213.110216	20.9108	211.4420073	212.2761116	58.24325812	10:34-10:37
2/10/18	35	11:22:00 AM	L	1	1	18.46	4.97	0.310625	23.8	2.1	260.870376	21.897824	198.1378562	229.5041161	71.28971606	10:40-10:44
3/29/18	23	10:39:00 AM	F5	5	2	25.26	28.74	1.79625	29.2	13	328.006416	135.7662	324.7240288	326.3652224	586.2335307	9:57-9:59
3/25/18	7	9:49:00 AM	F5	5	1	24.83	12.44	0.7775	26.9	6.5	299.037824	66.3644	279.7547537	289.3962888	225.0056145	9:22-9:25
2/1/18	1	9:17:00 AM	F5	5	2	21.42	16.61	1.038125	28.9	8.4	324.196464	86.193104	293.7622888	308.9793764	320.7592151	9:09-9:12
12/2/17	10	10:04:00 AM	F5	9	1	27.65	6.74	0.42125	28.5	3.5	319.1312	35.8262	248.4445976	283.7878988	119.5456524	9:19-9:24
11/23/17	1	9:54:00 AM	F5	9	1	27.24	18.92	1.1825	30.4	12	343.340544	124.8008	388.6502715	365.9954077	432.7895696	9:44-9:48
10/31/17	9	11:08:00 AM	F5	9	1	26.63	27.53	1.720625	29.8	12.6	335.654616	131.367464	322.2391879	328.946902	565.9942633	10:28-10:31
5/2/18	3	10:52:00 AM	L	11	1	20.18	8.3	0.51875	21.9	3.8	237.975224	38.837576	226.006617	231.9909205	120.34529	10:36-10:39
11/8/17	11	10:32:00 AM	L	11	1	18.9	4.89	0.305625	19.7	2.1	211.937696	21.897824	201.0211287	206.4794124	63.10527041	9:40-9:44
4/28/18	14	10:58:00 AM	L	11	1	21.77	15.95	0.996875	20	6	215.4584	61.2092	214.7118959	215.085148	214.4130069	10:50-10:54
11/12/17	11	10:48:00 AM	F5	14	1	28.47	50.84	3.1775	30.1	17.6	339.492864	187.556864	335.1232401	337.308052	1071.796335	10:34-10:37
11/23/17	3	10:03:00 AM	F5	14	2	28.07	33.02	2.06375	27.5	12.8	306.5414	133.564736	295.3633259	300.952363	621.0904391	9:44-9:48
11/8/17	10	10:28:00 AM	F5	14	1	29.01	28.48	1.78	29.8	13.1	335.654616	136.868504	329.0995489	332.3770825	591.6312069	9:40-9:44
3/29/18	21	10:31:00 AM	F5	17	1	26.85	25.63	1.601875	31.7	12.7	360.122816	132.465576	339.2007707	349.6617933	560.1144851	9:57-9:59
4/5/18	1	9:16:00 AM	F5	17	1	23.89	5.79	0.361875	31.2	3	353.647136	30.8282	243.803675	298.7254055	108.1012561	9:09-9:12
4/11/18	12	9:58:00 AM	F5	17	1	26.51	18.11	1.131875	27.5	8.8	306.5414	90.415776	290.1193122	298.3303561	337.6726718	9:12-9:15
3/29/18	14	10:06:00 AM	F5	20	1	27.27	27.89	1.743125	28.1	11.6	314.082704	120.443984	293.1854455	303.6340747	529.2721465	9:57-9:59
4/11/18	5	9:34:00 AM	F5	20	1	29.45	26.91	1.681875	31.1	13.4	352.355144	140.181704	348.5528731	350.4540085	589.4198355	9:12-9:15
4/5/18	8	9:40:00 AM	F5	20	1	27.53	21.99	1.374375	30	18.7	338.2124	200.270136	564.5632438	451.3878219	620.3761377	9:09-9:12
1/13/18	15	10:11:00 AM	F5	21	1	30.98	13.52	0.845	23.5	6.1	257.2302	62.238144	246.3746647	251.8024324	212.7730554	9:57-10:00
1/16/18	6	9:33:00 AM	F5	21	1	23.7	5.29	0.330625	24.6	3	270.623624	30.8282	263.933682	267.278653	88.36900465	9:09-9:12
2/9/18	17	10:14:00 AM	F5	21	1	27.26	35.83	2.239375	28.3	13.2	316.604856	137.971856	292.0012794	304.3030677	681.4486822	9:52-9:57
4/26/18	11	9:58:00 AM	F5	26	1	23.35	17.52	1.095	23.8	7.3	260.870376	74.667216	245.1403119	253.0053439	277.0408516	9:16-9:19
4/21/18	41	11:44:00 AM	F5	26	1	23.95	29.18	1.82375	22.5	9.2	245.1644	94.655216	224.4087677	234.7865839	428.1920324	11:23-11:26
4/17/18	6	9:26:00 AM	F5	26	1	26.31	12.42	0.77625	28.9	6.9	324.196464	70.507424	297.5844739	310.890469	241.3287266	9:00-9:04
1/13/18	17	10:17:00 AM	F5	27	1	26.89	12.14	0.75875	22.5	5.3	245.1644	54.035936	232.0785587	238.6214794	181.0540475	9:57-10:00
11/8/17	28	11:53:00 AM	F5	27	1	21.15	6.76	0.4225	19.9	2.9	214.283784	29.831744	206.3509393	210.3173616	88.85908528	11:31-11:35
10/31/17	6	10:56:00 AM	F5	27	1	26.1	24.28	1.5175	30.1	11.3	339.492864	117.187376	310.2473035	324.8700838	492.9903522	10:28-10:31
4/19/18	24	11:20:00 AM	F5	29	1	29.79	17.55	1.096875	28.8	8.9	322.928576	91.474064	299.9619592	311.4452676	341.6165279	11:13-11:17
11/8/17	25	11:43:00 AM	F5	29	1	29.15	26.64	1.665	29.9	12.8	336.932984	133.564736	334.1123877	335.5226858	558.6452719	11:31-11:35
4/26/18	5	9:38:00 AM	F5	29	1	29.92	21.17	1.323125	30.5	10.9	344.6252	112.859904	326.1048809	335.3650404	443.7298691	9:16-9:19
11/23/17	8	10:22:00 AM	F5	31	1	29.42	35.26	2.20375	32.9	15.9	375.771344	168.158504	358.9225471	367.3469456	809.5408314	9:44-9:48
10/31/17	1	10:36:00 AM	F5	31	1	27.46	30.91	1.931875	28.5	12.5	319.1312	130.2704	298.8506653	308.9909326	596.9318579	10:28-10:31
11/10/17	24	11:36:00 AM	F5	31	1	28.17	37.93	2.370625	29.8	15	335.654616	158.0114	324.6461482	330.1503821	782.6627496	11:05-11:09
11/10/17	20	11:14:00 AM	F5	32	1	27.42	22.53	1.408125	25.2	9	277.982576	92.5334	256.8181759	267.4003759	376.5331543	11:05-11:09
11/4/17	23	11:36:00 AM	F5	32	1	29.13	26.09	1.630625	27.4	10.9	305.288184	112.859904	285.8915698	295.5898769	481.996243	10:56-10:59
11/8/17	26	11:47:00 AM	F5	32	1	27.04	25.88	1.6175	29.5	11.9	331.8258	123.710024	314.9156252	323.3707126	523.0521276	11:31-11:35
5/1/18	12	11:31:00 AM	F5	35	1	24.4	26.49	1.655625	23.1	9.1	252.391304	93.593784	234.9207512	243.6560276	403.4030107	10:49-10:53
11/8/17	9	10:25:00 AM	F5	35	1	26.97	21.63	1.351875	27.8	9.2	310.307336	94.655216	269.6995359	290.003436	392.048395	9:40-9:44
