Ind	Sp	Line
1	L	LS
2	CL5	355
3	CL5	117s
4	CL5	229
5	CL5	295
6	CL5	447
7	CL5	434
8	CL5	227
9	CL5	48
10	CL5	472
11	L	LS
12	CL5	18
13	CL5	424
14	CL5	196
15	CL5	24
16	CL5	442
17	CL5	283
18	C	CS
19	CL5	30
20	CL5	461b
21	CL5	506
22	CL5	423
23	CL5	158
24	CL5	233
25	CL5	279
26	CL5	137
27	CL5	189d
28	CL5	340b
29	CL5	358
30	CL5	483
31	CL5	344
32	CL5	139
33	CL5	118
34	CL5	409s
35	CL5	180
36	CL5	41
37	CL5	431b
38	C	CS
39	CL5	353
40	CL5	418
41	CL5	52
42	CL5	506
43	CL5	255
44	CL5	292
45	CL5	387b
46	CL5	1
47	CL5	415
48	CL5	238
49	CL5	421
50	CL5	281
51	CL5	407
52	C	CS
53	CL5	363
54	CL5	108
55	CL5	506
56	CL5	48
57	CL5	42
58	CL5	202
59	CL5	186
60	CL5	99
61	CL5	185s
62	CL5	228s
63	CL5	294
64	CL5	119s
65	CL5	289s
66	CL5	383
67	CL5	197
68	CL5	138
69	CL5	105
70	CL5	502
71	CL5	56
72	CL5	136
73	C	CS
74	CL5	222
75	CL5	396
76	CL5	434
77	CL5	44
78	CL5	136
79	C	CS
80	CL5	9
81	CL5	081d
82	CL5	112
83	CL5	287
84	CL5	386s
85	CL5	364s
86	CL5	141
87	CL5	330
88	CL5	291
89	CL5	220
90	CL5	433s
91	CL5	11
92	CL5	417
93	CL5	482
94	CL5	495s
95	CL5	454
96	CL5	290
97	CL5	338b
98	CL5	355
99	L	LS
100	CL5	500
101	CL5	48
102	CL5	075s
103	CL5	132
104	CL5	138
105	CL5	220
106	CL5	287
107	C	CS
108	CL5	203
109	L	LS
110	CL5	24
111	CL5	184
112	CL5	49
113	CL5	093s
114	CL5	391
115	CL5	207
116	CL5	369s
117	CL5	41
118	CL5	264
119	CL5	452
120	CL5	143
121	CL5	74
122	CL5	368
123	C	CS
124	CL5	157
125	CL5	491b
126	CL5	155
127	CL5	130
128	CL5	434
129	CL5	361
130	CL5	41
131	CL5	80
132	CL5	200
133	CL5	459
134	CL5	192
135	CL5	288
136	CL5	92
137	CL5	385
138	CL5	209
139	CL5	368
140	CL5	13
141	CL5	258
142	CL5	19
143	CL5	126
144	CL5	453s
145	CL5	090b
146	CL5	491b
147	CL5	237
148	CL5	480s
149	CL5	184
150	CL5	493s
151	CL5	418
152	CL5	152
153	CL5	407
154	CL5	274
155	CL5	70
156	CL5	281
157	L	LS
158	CL5	333
159	CL5	121
160	CL5	59
161	CL5	186
162	CL5	415
163	CL5	287
164	CL5	482
165	CL5	375
166	CL5	469
167	CL5	201
168	CL5	279
169	CL5	366
170	CL5	439
171	CL5	424
172	C	CS
173	CL5	229
174	CL5	433s
175	CL5	414
176	CL5	122
177	CL5	458s
178	CL5	344
179	CL5	289s
180	CL5	032s
181	CL5	406s
182	CL5	473s
183	CL5	200
184	CL5	247
185	L	LS
186	CL5	332
187	CL5	335
188	CL5	151
189	CL5	303
190	CL5	1
191	CL5	138
192	CL5	260
193	CL5	474s
194	CL5	83
195	C	CS
196	CL5	039s
197	CL5	177
198	CL5	272
199	CL5	50
200	CL5	500
201	CL5	353
202	CL5	492b
203	CL5	433s
204	CL5	328
205	CL5	272
206	CL5	126
207	CL5	413
208	CL5	502
209	CL5	465s
210	CL5	032s
211	CL5	451
212	CL5	279
213	CL5	305b
214	CL5	205
