image	Ind	Infl_pos	Cor_Len_Var	Nectar_UNC	Sugar_UND	Sugar_D+2.5	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	Top_out_dia	Top_in_dia	Bottom_out_dia	Nec_H1	Nec_H2	Nec_H3	Nec_H4	Ov_H1	Ov_H2	Nec_H_avg	Ov_H_avg	Top_out_rad	Top_in_rad	Nec_thickness	Bottom_out_rad	Bottom_in_rad	Bottom_in_rad_A	Bottom_in_rad_B	Bottom_in_rad_C	Bottom_in_rad_D	FVol_A	FVol_B	FVol_C	FVol_C1	FVol_C2	FVol_C3	FVol_C4	CVol_A	CVol_B	Frustrum_Vol	Frustrum_Vol_A	Frustrum_Vol_B	Frustrum_Vol_C	Frustrum_Vol_D	Cylinder_Vol
102	1	1	19.05	3.46	23.3	1.8	2.255	1.948	2.186	1.548	3.391	1.559	3.362	1.936	2.296	1.588	2.458	0.783	3.072	0.748	3.275	1.623	1.205	0.979	1.107	0.4	0.36	0.313	0.377	1.165	1.188	0.3625	1.1765	0.6025	0.4895	0.113	0.5535	0.4405	0.5535	0.497	0.52525	0.539375	0.379609112	1.00285225	0.64927525	0.81691075	0.72990075	0.772607688	0.794559703	1.138827337	0.123396	0.134221051	0.070585088	0.103614877	0.087402934	0.079069749	0.140526738
710	1	1	15	0.61	0	0.5	2.226	1.919	2.128	1.704	3.333	1.571	3.316	1.838	2.243	1.675	2.336	0.835	3.061	0.817	3.235	1.559	1.205	0.992	1.09	0.215	0.244	0.279	0.267	1.084	1.021	0.25125	1.0525	0.6025	0.496	0.1065	0.545	0.4385	0.545	0.49175	0.518375	0.5316875	0.263108385	0.98839375	0.65579425	0.813361	0.731742063	0.771842641	0.792424598	0.789325154	0.11699025	0.087509717	0.046052584	0.067527211	0.056976413	0.051561127	0.092343347
1268	1	1	19.23	4.39	19.8	2	2.29	1.878	2.22	1.606	3.403	1.588	3.345	1.878	2.284	1.559	2.522	0.748	3.125	0.719	3.322	1.583	1.183	1.038	1.055	0.272	0.319	0.295	0.29	1.13	1.159	0.294	1.1445	0.5915	0.519	0.0725	0.5275	0.455	0.5275	0.49125	0.509375	0.5184375	0.30787608	0.94014475	0.712531	0.82138975	0.765646313	0.793189516	0.807207504	0.92362824	0.08051125	0.070076829	0.036561824	0.053723895	0.045244002	0.040928198	0.074362464
1986	1	1	18.46	4.97	23.8	2.1	2.214	1.89	2.139	1.699	3.345	1.606	3.345	1.855	2.267	1.646	2.412	0.916	3.107	0.928	3.27	1.588	1.206	1.003	1.131	0.191	0.244	0.267	0.249	0.974	0.927	0.23775	0.9505	0.603	0.5015	0.1015	0.5655	0.464	0.5655	0.51475	0.540125	0.5528125	0.248971218	1.02439575	0.69949425	0.85489075	0.774616938	0.814109953	0.834339379	0.746913653	0.11210675	0.080891122	0.042201866	0.062187735	0.052355111	0.047318566	0.083734062
5	5	1	25.45	25.44	26.7	10.8	2.364	2.158	2.215	1.689	3.601	1.641	3.476	2.17	2.344	1.657	2.53	0.78	3.237	0.723	3.456	1.621	1.386	1.112	1.112	0.469	0.501	0.549	0.529	1.378	1.447	0.512	1.4125	0.693	0.556	0.137	0.556	0.419	0.556	0.4875	0.52175	0.538875	0.536165146	1.174693	0.717661	0.927408	0.81784225	0.871452063	0.899136766	1.608495439	0.171113	0.245044629	0.132585598	0.191330935	0.162587222	0.147743649	0.27523448
706	5	2	21.42	16.61	28.9	8.4	2.162	2.122	2.099	1.728	3.49	1.629	3.525	2.046	2.238	1.675	2.383	0.98	3.142	0.922	3.374	1.629	1.391	1.136	1.363	0.394	0.447	0.417	0.417	1.142	1.124	0.41875	1.133	0.6955	0.568	0.1275	0.6815	0.554	0.6815	0.61775	0.649625	0.6655625	0.438513975	1.42214575	0.944212	1.17415825	1.055121063	1.113623641	1.143636941	1.315541924	0.16109625	0.209580628	0.108745984	0.160945454	0.135291256	0.122130005	0.211928871
1044	5	1	24.83	12.44	26.9	6.5	2.157	2.017	2.174	1.577	3.328	1.542	3.386	2.017	2.272	1.536	2.377	0.974	3.096	0.916	3.246	1.542	1.154	0.974	1.229	0.44	0.481	0.475	0.475	1.043	1.101	0.46775	1.072	0.577	0.487	0.09	0.6145	0.5245	0.6145	0.5695	0.592	0.60325	0.489826655	1.06510575	0.76770075	0.91404075	0.83884575	0.875937	0.894862313	1.469479964	0.09576	0.145676896	0.073995664	0.110828179	0.092659896	0.083389773	0.140717401
1148	5	2	25.26	28.74	29.2	13	2.191	2.058	2.104	1.646	3.426	1.472	3.391	1.994	2.214	1.629	2.383	0.8	2.997	0.806	3.345	1.513	1.322	1.131	1.2	0.412	0.429	0.481	0.522	1.258	1.188	0.461	1.223	0.661	0.5655	0.0955	0.6	0.5045	0.6	0.55225	0.576125	0.5880625	0.482758071	1.193521	0.85960525	1.01909025	0.937067688	0.977508953	0.998157098	1.448274213	0.11713075	0.161200523	0.084207852	0.123804906	0.104281559	0.094313501	0.169637445
6	8	1	22.06	21.92	24.3	9	2.377	1.961	2.295	1.619	3.563	1.562	3.559	1.961	2.43	1.615	2.577	0.697	3.209	0.591	3.49	1.557	1.268	1.06	1.182	0.342	0.346	0.404	0.399	1.264	1.37	0.37275	1.317	0.634	0.53	0.104	0.591	0.487	0.591	0.539	0.565	0.578	0.390342887	1.125931	0.776179	0.943411	0.857091	0.899575	0.921324	1.171028662	0.121056	0.136523205	0.071245384	0.104939782	0.088356455	0.079866887	0.141760046
10	9	1	26.63	27.53	29.8	12.6	2.365	2.166	2.211	1.698	3.558	1.608	3.493	2.117	2.357	1.685	2.5	0.708	3.188	0.676	3.46	1.596	1.347	1.103	1.128	0.468	0.481	0.521	0.509	1.458	1.441	0.49475	1.4495	0.6735	0.5515	0.122	0.564	0.442	0.564	0.503	0.5335	0.54875	0.518100988	1.15155225	0.74327925	0.93329425	0.83456575	0.88299975	0.907914438	1.554302965	0.14945	0.211526645	0.113079686	0.164231019	0.139137316	0.126228991	0.232290578
