image,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,Top_out_dia,Top_in_dia,Bottom_out_dia,Nec_H1,Nec_H2,Nec_H3,Nec_H4,Ov_H1,Ov_H2,Nec_H_avg,Ov_H_avg,Top_out_rad,Top_in_rad,Nec_thickness,Bottom_out_rad,Bottom_in_rad,Bottom_in_rad_A,Bottom_in_rad_B,Bottom_in_rad_C,Bottom_in_rad_D,FVol_A,FVol_B,FVol_C,FVol_C1,FVol_C2,FVol_C3,FVol_C4,CVol_A,CVol_B,Frustrum_Vol,Frustrum_Vol_A,Frustrum_Vol_B,Frustrum_Vol_C,Frustrum_Vol_D,Cylinder_Vol
0000,2.151,2.162,2.012,1.704,3.386,1.664,3.322,2.145,2.191,1.704,2.359,0.725,3.003,0.707,3.27,1.646,1.374,1.079,1.171,0.458,0.458,0.499,0.481,1.437,1.438,0.474,1.4375,0.687,0.5395,0.1475,0.5855,0.438,0.5855,0.51175,0.548625,0.5670625,0.496371639267,1.21701775,0.71920525,0.94974775,0.8290374375,0.888032828125,0.918550347656,1.4891149178,0.18090875,0.247100006673,0.132665248027,0.192582423719,0.163298784965,0.148150753769,0.269393918386
0001,1.942,1.896,1.867,1.513,3.38,1.507,3.194,1.884,2.006,1.467,2.307,0.557,3.014,0.551,3.171,1.53,1.513,1.165,1.252,0.383,0.429,0.354,0.377,1.339,1.333,0.38575,1.336,0.7565,0.5825,0.174,0.626,0.452,0.626,0.539,0.5825,0.60425,0.403956455374,1.43773725,0.80690025,1.09582725,0.94379475,1.01791875,1.0563999375,1.21186936612,0.232986,0.254830678439,0.138116751657,0.199531261459,0.16958839316,0.154043669059,0.282348596135
0002,2.388,1.988,2.249,1.565,3.478,1.53,3.368,1.936,2.383,1.559,2.58,0.568,3.165,0.499,3.316,1.548,1.229,0.933,0.98,0.423,0.429,0.388,0.406,1.42,1.437,0.4115,1.4285,0.6145,0.4665,0.148,0.49,0.342,0.49,0.416,0.453,0.4715,0.430921792317,0.91881525,0.49412925,0.68630725,0.58474225,0.63415575,0.65988925,1.29276537695,0.159988,0.183006452292,0.100192764088,0.143959335925,0.12266598194,0.111576855998,0.206826947128
0003,2.226,2.133,2.099,1.67,3.594,1.617,3.472,2.139,2.186,1.681,2.394,0.568,3.154,0.539,3.484,1.623,1.495,1.298,1.246,0.463,0.452,0.516,0.522,1.565,1.6,0.48825,1.5825,0.7475,0.649,0.0985,0.623,0.5245,0.623,0.57375,0.598375,0.6106875,0.511294204372,1.41257775,1.03670175,1.213657,1.1227538125,1.16759901563,1.19047641016,1.53388261312,0.13755525,0.192183220362,0.101707026604,0.148185299532,0.12525620708,0.113559127845,0.210993606318
0004,2.046,2.064,2.017,1.472,3.443,1.519,3.38,2.023,2.145,1.536,2.458,0.69,3.09,0.667,3.322,1.571,1.426,1.177,1.334,0.592,0.528,0.452,0.504,1.374,1.356,0.519,1.365,0.713,0.5885,0.1245,0.667,0.5425,0.667,0.60475,0.635875,0.6514375,0.543495529071,1.428829,0.95989975,1.18375075,1.0679501875,1.12488170313,1.15407403516,1.63048658721,0.16203675,0.254860950826,0.133198933148,0.19613602113,0.165193996925,0.149328094983,0.264198747511
0005,2.22,2.11,2.07,1.751,3.472,1.612,3.501,2.035,2.284,1.704,2.446,0.748,3.142,0.713,3.345,1.612,1.402,1.061,1.281,0.359,0.406,0.423,0.423,1.362,1.322,0.40275,1.342,0.701,0.5305,0.1705,0.6405,0.47,0.6405,0.55525,0.597875,0.6191875,0.421758813744,1.35063175,0.75166525,1.03145575,0.8842929375,0.956057453125,0.993302378906,1.26527644123,0.20997075,0.252619400513,0.134615291136,0.196682504363,0.166415187384,0.150706811669,0.265671043323
0006,2.267,2.058,2.226,1.664,3.519,1.629,3.438,2.017,2.383,1.687,2.603,0.713,3.328,0.678,3.409,1.635,1.293,1.026,1.171,0.394,0.371,0.382,0.388,1.345,1.339,0.38375,1.342,0.6465,0.513,0.1335,0.5855,0.452,0.5855,0.51875,0.552125,0.5688125,0.401862060272,1.13929825,0.699349,0.90634075,0.7983893125,0.851251140625,0.878517472656,1.20558618082,0.15479325,0.17679891202,0.0936167809057,0.136998367989,0.115755204829,0.104797900463,0.186616603083
0007,2.296,1.965,2.191,1.554,3.362,1.478,3.339,1.919,2.342,1.559,2.47,0.562,3.119,0.516,3.264,1.49,1.171,0.922,1.043,0.411,0.406,0.429,0.441,1.403,1.403,0.42175,1.403,0.5855,0.461,0.1245,0.5215,0.397,0.5215,0.45925,0.490375,0.5059375,0.441655567217,0.92011075,0.553147,0.72489475,0.6351458125,0.679051515625,0.701730941406,1.32496670165,0.13028925,0.162071583154,0.0862182332099,0.125856351109,0.106465152891,0.0964486582332,0.172628917833
0008,2.249,2.081,2.029,1.675,3.362,1.559,3.316,2.052,2.191,1.67,2.371,0.661,2.98,0.649,3.246,1.548,1.333,1.055,1.067,0.406,0.411,0.504,0.493,1.42,1.403,0.4535,1.4115,0.6665,0.5275,0.139,0.5335,0.3945,0.5335,0.464,0.49875,0.516125,0.474904089468,1.08442225,0.64198525,0.84429975,0.73831225,0.7900984375,0.816897203125,1.4247122684,0.165966,0.210115140632,0.114035157223,0.164369054406,0.139775582184,0.127048738796,0.236453796338
0009,2.354,1.971,2.261,1.612,3.571,1.525,3.525,1.867,2.394,1.629,2.504,0.806,3.246,0.69,3.472,1.519,1.31,1.078,1.171,0.359,0.342,0.348,0.342,1.165,1.177,0.34775,1.171,0.655,0.539,0.116,0.5855,0.4695,0.5855,0.5275,0.5565,0.571,0.364162948429,1.15533775,0.76401175,0.94891575,0.85309975,0.90016675,0.924331,1.09248884529,0.138504,0.142506429957,0.0751712441405,0.110063881207,0.0929238237135,0.0841240991869,0.151314075027
0010,2.33,2.07,2.174,1.658,3.496,1.6,3.461,2.046,2.325,1.67,2.574,0.649,3.241,0.684,3.403,1.565,1.322,1.078,1.131,0.412,0.4,0.481,0.446,1.421,1.362,0.43475,1.3915,0.661,0.539,0.122,0.5655,0.4435,0.5655,0.5045,0.535,0.55025,0.455269135383,1.13050675,0.72625975,0.91511575,0.81696675,0.865111,0.8898808125,1.36580740615,0.1464,0.184041182171,0.0980608743392,0.142745084708,0.120826493637,0.109549562516,0.19995420426
