image	number	area	mean	min	max	x	y	perim	circ	area	ar	round	
2	1	0	240	240	240	2.215	1.936	0	0	0	0	0	NaN
2	2	0	136	136	136	2.021	1.524	0	0	0	0	0	NaN
2	3	0	138	138	138	3.5	1.52	0	0	0	0	0	NaN
2	4	0	222	222	222	3.334	1.964	0	0	0	0	0	NaN
2	5	0	245	245	245	2.199	1.52	0	0	0	0	0	NaN
2	6	0	229	229	229	2.385	0.501	0	0	0	0	0	NaN
2	7	0	150	150	150	3.055	0.461	0	0	0	0	0	NaN
2	8	0	216	216	216	3.346	1.495	0	0	0	0	0	NaN
3	9	0	209	209	209	2.389	2.102	0	0	0	0	0	NaN
3	10	0	162	162	162	2.207	1.609	0	0	0	0	0	NaN
3	11	0	196	196	196	3.694	1.56	0	0	0	0	0	NaN
3	12	0	179	179	179	3.609	2.057	0	0	0	0	0	NaN
3	13	0	228	228	228	2.38	1.592	0	0	0	0	0	NaN
3	14	0	225	225	225	2.623	0.732	0	0	0	0	0	NaN
3	15	0	118	118	118	3.342	0.695	0	0	0	0	0	NaN
3	16	0	206	206	206	3.488	1.572	0	0	0	0	0	NaN
4	17	0	131	131	131	2.005	2.041	0	0	0	0	0	NaN
4	18	0	97	97	97	1.96	1.746	0	0	0	0	0	NaN
4	19	0	190	190	190	3.33	1.701	0	0	0	0	0	NaN
4	20	0	187	187	187	3.229	2.081	0	0	0	0	0	NaN
4	21	0	192	192	192	2.13	1.714	0	0	0	0	0	NaN
4	22	0	162	162	162	2.292	0.865	0	0	0	0	0	NaN
4	23	0	173	173	173	2.894	0.812	0	0	0	0	0	NaN
4	24	0	223	223	223	3.185	1.706	0	0	0	0	0	NaN
5	25	0	86	86	86	2.364	2.158	0	0	0	0	0	NaN
5	26	0	123	123	123	2.215	1.689	0	0	0	0	0	NaN
5	27	0	200	200	200	3.601	1.641	0	0	0	0	0	NaN
5	28	0	224	224	224	3.476	2.17	0	0	0	0	0	NaN
5	29	0	137	137	137	2.344	1.657	0	0	0	0	0	NaN
5	30	0	71	71	71	2.53	0.78	0	0	0	0	0	NaN
5	31	0	240	240	240	3.237	0.723	0	0	0	0	0	NaN
5	32	0	229	229	229	3.456	1.621	0	0	0	0	0	NaN
6	33	0	146	146	146	2.377	1.961	0	0	0	0	0	NaN
6	34	0	125	125	125	2.295	1.619	0	0	0	0	0	NaN
6	35	0	200	200	200	3.563	1.562	0	0	0	0	0	NaN
6	36	0	205	205	205	3.559	1.961	0	0	0	0	0	NaN
6	37	0	149	149	149	2.43	1.615	0	0	0	0	0	NaN
6	38	0	144	144	144	2.577	0.697	0	0	0	0	0	NaN
6	39	0	209	209	209	3.209	0.591	0	0	0	0	0	NaN
6	40	0	239	239	239	3.49	1.557	0	0	0	0	0	NaN
7	41	0	112	112	112	2.369	2.059	0	0	0	0	0	NaN
7	42	0	109	109	109	2.238	1.586	0	0	0	0	0	NaN
7	43	0	234	234	234	3.694	1.557	0	0	0	0	0	NaN
7	44	0	228	228	228	3.645	2.063	0	0	0	0	0	NaN
7	45	0	54	54	54	2.418	1.541	0	0	0	0	0	NaN
7	46	0	96	96	96	2.63	0.722	0	0	0	0	0	NaN
7	47	0	209	209	209	3.311	0.681	0	0	0	0	0	NaN
7	48	0	245	245	245	3.58	1.545	0	0	0	0	0	NaN
8	49	0	136	136	136	2.344	2.206	0	0	0	0	0	NaN
8	50	0	128	128	128	2.198	1.59	0	0	0	0	0	NaN
8	51	0	157	157	157	3.531	1.549	0	0	0	0	0	NaN
8	52	0	251	251	251	3.523	2.193	0	0	0	0	0	NaN
8	53	0	160	160	160	2.377	1.704	0	0	0	0	0	NaN
8	54	0	131	131	131	2.597	0.75	0	0	0	0	0	NaN
8	55	0	226	226	226	3.135	0.673	0	0	0	0	0	NaN
8	56	0	20	20	20	3.433	1.566	0	0	0	0	0	NaN
9	57	0	145	145	145	2.381	1.92	0	0	0	0	0	NaN
9	58	0	57	57	57	2.316	1.631	0	0	0	0	0	NaN
9	59	0	174	174	174	3.449	1.61	0	0	0	0	0	NaN
9	60	0	224	224	224	3.388	1.973	0	0	0	0	0	NaN
9	61	0	183	183	183	2.426	1.635	0	0	0	0	0	NaN
9	62	0	148	148	148	2.552	0.844	0	0	0	0	0	NaN
9	63	0	208	208	208	3.241	0.864	0	0	0	0	0	NaN
9	64	0	238	238	238	3.36	1.639	0	0	0	0	0	NaN
10	65	0	173	173	173	2.365	2.166	0	0	0	0	0	NaN
10	66	0	87	87	87	2.211	1.698	0	0	0	0	0	NaN
10	67	0	136	136	136	3.558	1.608	0	0	0	0	0	NaN
10	68	0	211	211	211	3.493	2.117	0	0	0	0	0	NaN
10	69	0	177	177	177	2.357	1.685	0	0	0	0	0	NaN
10	70	0	174	174	174	2.5	0.708	0	0	0	0	0	NaN
10	71	0	226	226	226	3.188	0.676	0	0	0	0	0	NaN
10	72	0	207	207	207	3.46	1.596	0	0	0	0	0	NaN
11	73	0	127	127	127	2.259	2.093	0	0	0	0	0	NaN
11	74	0	132	132	132	2.231	1.649	0	0	0	0	0	NaN
11	75	0	184	184	184	3.534	1.571	0	0	0	0	0	NaN
11	76	0	242	242	242	3.513	2.011	0	0	0	0	0	NaN
11	77	0	142	142	142	2.321	1.637	0	0	0	0	0	NaN
11	78	0	142	142	142	2.496	0.757	0	0	0	0	0	NaN
11	79	0	160	160	160	3.192	0.672	0	0	0	0	0	NaN
11	80	0	205	205	205	3.44	1.608	0	0	0	0	0	NaN
12	81	0	110	110	110	2.182	2.101	0	0	0	0	0	NaN
12	82	0	63	63	63	2.137	1.604	0	0	0	0	0	NaN
12	83	0	138	138	138	3.546	1.58	0	0	0	0	0	NaN
12	84	0	203	203	203	3.517	2.06	0	0	0	0	0	NaN
12	85	0	120	120	120	2.255	1.604	0	0	0	0	0	NaN
12	86	0	106	106	106	2.426	0.737	0	0	0	0	0	NaN
12	87	0	237	237	237	3.143	0.696	0	0	0	0	0	NaN
12	88	0	247	247	247	3.436	1.567	0	0	0	0	0	NaN
13	89	0	124	124	124	2.307	2.06	0	0	0	0	0	NaN
13	90	0	43	43	43	2.234	1.678	0	0	0	0	0	NaN
13	91	0	138	138	138	3.636	1.531	0	0	0	0	0	NaN
13	92	0	176	176	176	3.542	1.978	0	0	0	0	0	NaN
13	93	0	119	119	119	2.336	1.629	0	0	0	0	0	NaN
13	94	0	111	111	111	2.498	0.666	0	0	0	0	0	NaN
13	95	0	145	145	145	3.278	0.715	0	0	0	0	0	NaN
13	96	0	164	164	164	3.493	1.564	0	0	0	0	0	NaN
14	97	0	82	82	82	2.466	2.173	0	0	0	0	0	NaN
14	98	0	129	129	129	2.328	1.763	0	0	0	0	0	NaN
14	99	0	178	178	178	3.782	1.714	0	0	0	0	0	NaN
14	100	0	156	156	156	3.766	2.141	0	0	0	0	0	NaN
14	101	0	149	149	149	2.49	1.763	0	0	0	0	0	NaN
14	102	0	129	129	129	2.665	0.727	0	0	0	0	0	NaN
14	103	0	136	136	136	3.453	0.703	0	0	0	0	0	NaN
14	104	0	201	201	201	3.713	1.718	0	0	0	0	0	NaN
