Date	Time	Sp	Ind	Infl_pos	Cor_Width	Cor_Throat	Cor_Base	Cor_Len	Cor_Th_Len	Cor_Len_Var	Sepal_Len	Min_Fil_Len	Max_Fil_Len	Pistil_Len	Ovary_Height	Stigma_Height			
2/16/18	9:34:00	L	1	1	15.93	4.77	2.29	16.67	11.36	19.3	9.6	10.01	11.63	10.44	1.34	0.94		Gh	
2/14/18	9:42:00	L	1	2	14.67	5.01	2.14	16.5	11.22	18.19	9.87	10.04	12.21	9.97	1.57	0.92		gh	
1/30/18	10:56:00	L	1	1	16.53	5.68	2.27	16.96	11.96	19.67	10.71	10.3	12.63	10.89	1.3	0.93		Gh	
1/31/18	9:29:00	F5	9	3	23.49	6.35	2.58	24.51	15.47	27.76	10.66	14.12	15.78	13.33	1.55	0.95		pgh	
11/28/17	9:51:00	F5	9	2	24.82	6.65	2.61	22.12	14.87	28.03	10.32	15.62	18.13	14.33	1.72	1.02			
1/30/18	11:07:00	F5	9	1	24.5	7.22	2.52	24.22	15.54	28.74	9.8	14.03	16.94	13.5	1.45	0.91		pgh	
3/7/18	9:37:00	L	11	1	16.25	4.88	2.67	16.77	11.46	19.94	9.54	10.76	12.45	10.16	1.38	0.86		gh	
2/25/18	10:34:00	L	11	1	15.18	5.18	2.24	16.47	10.68	18.88	10.81	9.77	12.61	10.4	1.39	0.87		gh	
2/23/18	10:57:00	L	11	1	13.9	5.09	2.35	15.37	11.46	17.77	10.32	9.02	11.59	8.81	1.36	0.8		gh	
11/24/17	10:42:00	F5	14	1	23.91	7	2.74	24.07	14.31	29.32	11.38	14.15	17.23	14.44	1.85	1.03			
12/9/17	10:46:00	F5	14	1	22.91	6.79	2.77	24.32	15.99	28.12	11.45	13.58	16.98	14.31	1.45	0.98			
12/7/17	10:53:00	F5	14	1	24	6.23	2.63	24.52	15.91	28.89	10.94	14.58	18.25	16.06	1.52	1.04			
5/21/18	9:47:00	F5	16	1	24.44	6.56	2.59	22.64	16.28	27.73	9.74	14.38	17.32	16.65	1.54	0.96		ph	
11/9/17	10:11:00	F5	16	1	22.77	5.97	2.39	21.81	13.44	25.88	12.18	14.64	17.41	16.65	1.73	1.06			
5/23/18	10:13:00	F5	16	1	24.72	7.14	2.79	23.99	15.86	29.1	11.66	14.69	17.69	16.7	1.51	1.02		Ph	
4/12/18	9:43:00	F5	20	1	27.14	6.81	2.65	24.62	15.9	29.55	11.14	14.36	17.87	13.31	1.61	0.86		Wh	
3/26/18	9:50:00	F5	20	2	24.04	6.01	2.86	22.51	13.66	28.14	9.47	14.51	17.32	13.45	1.53	1		Wh	
3/30/18	10:23:00	F5	20	1	27.22	6.64	2.82	24.18	15.56	30.38	11.52	16.23	19.11	13.97	1.44	0.91		wh	
2/7/18	10:21:00	F5	21	1	25.57	6.33	2.78	23.44	15.83	27.85	11.55	15.21	17.7	17.03	1.63	0.95		ph	
11/14/17	10:37:00	F5	21	1	24.22	6.53	2.7	24.28	16.18	28.96	11.7	16.54	18.36	19.58	1.73	1.14			
1/30/18	11:10:00	F5	21	1	23.14	6.03	2.66	21.28	13.83	25.71	12.2	14.69	17.21	17.56	1.5	0.88		ph	
4/20/18	10:06:00	F5	26	1	21.42	5.61	2.49	20.69	13.72	24.81	10.83	11.97	14.84	13.18	1.35	0.9		pgh	
11/5/17	11:02:00	F5	26	1	19.12	6.31	2.28	23.48	15.1	26.25	11.08	13.46	16.87	13.48	1.59	1.03			
4/22/18	11:48:00	F5	26	1	22.03	6.16	2.4	21.13	14.06	25.77	11.14	12.35	14.88	12.59	1.37	0.88		pgh	dark purple
10/30/17	9:33:00	F5	31	1	23.02	7.84	3.05	22.44	14.72	26.01	10.47	14.55	17.49	15.4	1.39	1.16			
11/24/17	10:47:00	F5	31	2	22.65	6.56	2.81	24.78	14.16	27.66	11.77	14.12	17.64	15.14	1.85	1.06			
11/26/17	11:25:00	F5	31	3	23.46	7.29	2.84	23.63	13.81	28.24	12.21	15.02	18.34	15.14	2.01	1.01			
11/22/17	11:21:00	F5	32	1	18.24	6.87	2.82	23.47	13.84	25.53	9.66	13.88	16.42	12.4	1.8	0.88	trilobed		
11/18/17	11:32:00	F5	32	1	20.21	6.28	2.69	22.46	14	26.14	10.89	13.54	16.3	13.22	1.62	0.94			
11/14/17	11:55:00	F5	32	1	24.97	7.18	2.46	26.57	16.78	30.11	11.34	16.15	18.39	14.69	1.8	1.05			
11/28/17	9:55:00	F5	35	1	20.94	6.49	2.33	22.22	13.78	26.11	10.69	14.38	16.61	15.37	1.66	1.09			
5/1/18	10:15:00	F5	35	1	23.03	6.12	2.65	20.78	14.18	25.93	10.8	14.16	16.89	15.98	1.45	0.99		wh	
11/24/17	10:51:00	F5	35	1	22.34	6.45	2.59	24.76	13.28	27.07	11.48	14.08	17.36	16.26	1.67	1.09			
