QTL1_ID,QTL2_ID,Linkage_Group,Midpoint
1,14,1,66.28875
2,15,1,229.41975
4,16,3,126.37675
6,18,5,164.69725
7,18,5,200.5135
8,21,8,222.353
9,23,9,125.75725
12,25,13,64.5665
13,26,14,30.08275
2,28,1,213.99175
5,29,4,55.217
6,32,5,166.06775
8,35,8,196.87225
9,37,9,143.697
12,38,13,64.5665
2,41,1,211.314
3,42,2,46.95525
4,43,3,128.37125
5,44,4,55.217
6,47,5,169.8725
7,48,5,200.5135
8,50,8,196.87225
9,52,9,143.697
12,53,13,64.5665
1,55,1,70.79875
2,56,1,205.3295
5,57,4,71.08975
6,58,5,164.69725
7,58,5,200.10575
11,62,11,121.40225
2,67,1,217.2605
3,68,2,46.95525
5,69,4,55.217
6,72,5,169.8725
8,74,8,198.185
9,75,9,141.56725
12,77,13,64.5665
2,80,1,216.6855
5,83,4,53.216
5,84,4,63.577
6,86,5,169.8725
7,87,5,200.5135
8,91,8,200.587
9,93,9,140.081
12,95,13,64.5665
13,97,14,88.271
2,99,1,213.99175
12,101,13,64.5665
1,102,1,67.7245
2,102,1,213.99175
3,103,2,46.95525
5,104,4,71.08975
11,105,11,107.92475
12,107,13,64.5665
2,109,1,213.99175
1,111,1,67.7245
2,111,1,204.251
4,112,3,126.37675
8,116,8,205.1755
12,118,13,64.5665
8,123,8,205.1755
9,125,9,139.7145
12,128,13,64.5665
1,131,1,67.7245
2,132,1,213.99175
8,139,8,218.98475
11,140,11,121.40225
12,143,13,64.5665
13,145,14,19.18475
15,28,1,229.41975
17,30,4,200.88925
18,32,5,166.06775
19,33,6,119.60125
21,35,8,214.04975
23,37,9,143.697
25,38,13,54.45075
27,40,15,19.062
16,43,3,138.065
17,45,4,200.88925
18,47,5,169.8725
18,48,5,200.5135
21,50,8,214.04975
23,52,9,143.697
25,53,13,54.45075
14,55,1,69.363
18,58,5,166.2635
19,59,6,209.0985
24,63,12,145.94775
27,65,15,17.047
15,67,1,232.34025
17,70,4,199.4985
18,72,5,169.8725
20,73,7,206.5255
21,74,8,215.3625
23,75,9,141.56725
25,77,13,54.45075
15,80,1,235.71275
16,82,3,59.3965
17,85,4,202.8005
18,86,5,169.8725
18,87,5,200.5135
21,91,8,217.7645
23,93,9,140.081
25,95,13,56.69675
27,98,15,17.047
15,99,1,240.75475
24,100,12,145.94775
25,101,13,54.45075
14,102,1,63.9075
15,102,1,240.75475
17,104,4,203.95375
24,106,12,138.1315
25,107,13,54.45075
15,109,1,232.83275
24,110,12,141.80975
14,111,1,63.9075
16,112,3,130.8535
20,115,7,207.8305
21,116,8,222.353
22,116,8,236.7
25,118,13,54.45075
17,120,4,199.4985
21,123,8,222.353
22,123,8,236.7
23,125,9,139.7145
25,128,13,54.45075
14,131,1,66.28875
15,132,1,234.185
16,133,3,50.79925
17,134,4,188.53075
19,136,6,159.3945
20,137,7,207.8305
21,139,8,222.353
22,139,8,236.7
24,141,12,163.3105
25,143,13,54.45075
26,145,14,19.18475
28,41,1,211.314
29,44,4,54.80725
30,45,4,186.2365
31,46,5,81.9605
32,47,5,169.8725
34,49,7,44.8275
35,50,8,196.87225
36,51,9,36.413
37,52,9,143.697
38,53,13,53.457
39,54,14,136.55725
28,56,1,205.3295
29,57,4,50.58375
30,57,4,161.68425
31,58,5,79.25125
32,58,5,166.06775
33,59,6,209.0985
34,60,7,97.87475
36,61,9,35.5555
40,65,15,19.062
28,67,1,217.2605
29,69,4,50.58375
30,70,4,184.84575
31,71,5,81.01675
32,72,5,169.8725
34,73,7,55.475
35,74,8,196.87225
37,75,9,143.697
38,77,13,46.92425
39,79,14,138.70225
28,80,1,216.6855
29,83,4,53.216
29,84,4,61.0565
30,85,4,196.41775
32,86,5,169.8725
34,88,7,11.78125
35,91,8,196.87225
36,92,9,29.055
37,93,9,143.697
38,95,13,56.69675
39,97,14,136.55725
40,98,15,19.062
28,99,1,210.74125
38,101,13,44.6955
28,102,1,210.74125
29,104,4,50.58375
30,104,4,186.2365
38,107,13,44.6955
28,109,1,210.74125
28,111,1,201.0005
30,113,4,161.68425
31,114,5,62.5485
34,115,7,67.50075
35,116,8,196.87225
