QTL1_ID,QTL2_ID,Chr,Midpoint,Current_Order
1,17,1,203.131,3
1,27,1,203.131,6
1,36,1,203.131,12
1,57,1,203.131,19
1,77,1,203.131,26
1,87,1,203.131,28
17,36,1,203.59345,58
36,57,1,203.59345,108
36,77,1,203.59345,115
36,87,1,203.59345,118
27,36,1,204.906,82
17,27,1,206.601,51
27,57,1,206.601,92
27,77,1,206.601,100
27,87,1,206.601,104
17,77,1,208.35075,75
77,87,1,208.35095,149
17,87,1,210.74145,79
57,77,1,210.94345,140
17,57,1,213.33395,68
57,87,1,213.6612,143
49,77,1,224.657,131
10,77,1,226.3925,46
17,49,1,227.0475,62
49,87,1,227.37475,135
49,57,1,228.4495,123
10,17,1,228.783,29
10,87,1,229.11025,49
10,57,1,230.185,41
10,49,1,233.098,37
10,37,1,244.53305,35
28,74,2,35.02275,98
2,28,2,46.955415,7
2,74,2,46.955415,24
58,74,2,105.23465,138
59,88,3,52.564335,144
18,50,4,50.948625,63
29,50,4,50.948625,86
50,60,4,52.232565,124
3,50,4,52.76588,15
18,29,4,54.234135,52
18,60,4,55.518075,69
29,60,4,55.681075,93
3,18,4,56.05139,4
3,29,4,56.21439,8
3,60,4,57.034315,20
19,89,4,190.0072,80
81,89,4,190.0072,153
19,81,4,194.6517,77
39,79,5,36.0535055,116
39,90,5,55.79875,119
79,90,5,55.79875,150
20,90,5,60.826575,81
20,79,5,62.548575,76
30,90,5,63.002585,105
30,79,5,64.724585,101
20,39,5,71.28143,59
20,30,5,73.45744,53
30,39,5,73.45744,83
39,51,5,169.8725,106
4,51,5,169.8727,16
21,51,5,169.8727,64
31,51,5,169.8727,87
51,61,5,169.8727,125
4,21,5,169.8729,5
4,31,5,169.8729,9
4,39,5,169.8729,13
4,61,5,169.8729,21
21,31,5,169.8729,54
21,39,5,169.8729,60
21,61,5,169.8729,70
31,39,5,169.8729,84
31,61,5,169.8729,94
39,61,5,169.8729,109
42,91,6,193.0927,120
43,63,7,131.6643,110
64,92,7,197.4477,145
12,92,7,207.0969,50
13,22,8,191.32685,30
22,32,8,191.32685,55
22,52,8,191.32685,65
13,32,8,193.4202,32
13,52,8,193.4202,38
32,52,8,196.87225,88
22,66,8,201.80215,71
13,66,8,203.89565,42
32,66,8,207.3477,95
52,66,8,208.66045,126
5,32,8,213.27295,10
5,52,8,214.5857,17
5,66,8,218.9289,22
5,14,8,236.7002,1
23,67,9,16.1685565,72
23,44,9,35.28439,61
68,83,9,124.465935,142
15,83,9,125.390935,48
15,68,9,125.75725,43
24,83,9,143.330685,78
33,83,9,143.330685,103
15,24,9,143.697,31
15,33,9,143.697,33
24,33,9,143.697,56
24,68,9,143.697,73
33,68,9,143.697,96
53,83,9,143.988885,133
15,53,9,144.3552,39
24,53,9,144.3552,66
33,53,9,144.3552,89
53,68,9,144.3554,127
54,85,11,26.485585,134
73,75,12,116.658645,146
45,75,12,131.245095,113
45,73,12,143.334,112
76,94,13,22.0455565,148
55,94,13,24.2742915,136
46,94,13,24.5603115,121
80,94,13,26.9147915,151
55,76,13,46.92435,130
46,55,13,47.21037,107
46,76,13,47.21037,114
46,80,13,49.56485,117
76,80,13,49.56485,147
16,70,13,50.59713,44
34,70,13,50.59713,97
46,70,13,50.59713,111
55,70,13,50.59713,128
70,76,13,50.59713,139
70,80,13,50.59713,141
34,46,13,53.457,85
34,55,13,53.457,90
34,76,13,53.457,99
34,80,13,53.457,102
16,34,13,54.45075,34
16,46,13,54.45075,36
16,55,13,54.45075,40
16,76,13,54.45075,45
16,80,13,54.45075,47
8,70,13,58.466905,23
8,16,13,64.56657,2
8,34,13,64.56657,11
8,46,13,64.56667,14
8,55,13,64.56667,18
8,76,13,64.56667,25
8,80,13,64.56667,27
55,80,13,85.52525,132
80,95,13,139.994,152
55,95,13,141.8949,137
55,71,13,154.3664,129
25,35,14,136.55725,57
25,56,14,138.70225,67
35,56,14,139.11,91
47,97,14,170.474,122
26,72,15,20.140285,74
