PairwiseTraits	Category
CorollaLength-CorollaThroat	flower
CorollaLength-CorollaWidth	flower
CorollaLength-LongestStamenLength	flower
CorollaLength-NectarVolume	flower-nectar
CorollaLength-NectarySize	flower-nectar
CorollaLength-OverallCorollaLength	flower
CorollaLength-PistilLength	flower
CorollaLength-SeedLength	flower-seed
CorollaLength-SeedMass	flower-seed
CorollaLength-SeedWidth	flower-seed
CorollaLength-SepalLength	flower
CorollaLength-SugarConcentration	flower-nectar
CorollaThroat-CorollaWidth	flower
CorollaThroat-LongestStamenLength	flower
CorollaThroat-NectarVolume	flower-nectar
CorollaThroat-NectarySize	flower-nectar
CorollaThroat-OverallCorollaLength	flower
CorollaThroat-PistilLength	flower
CorollaThroat-SeedLength	flower-seed
CorollaThroat-SeedMass	flower-seed
CorollaThroat-SeedWidth	flower-seed
CorollaThroat-SepalLength	flower
CorollaThroat-SugarConcentration	flower-nectar
CorollaWidth-LongestStamenLength	flower
CorollaWidth-NectarVolume	flower-nectar
CorollaWidth-NectarySize	flower-nectar
CorollaWidth-OverallCorollaLength	flower
CorollaWidth-PistilLength	flower
CorollaWidth-SeedLength	flower-seed
CorollaWidth-SeedMass	flower-seed
CorollaWidth-SeedWidth	flower-seed
CorollaWidth-SepalLength	flower
CorollaWidth-SugarConcentration	flower-nectar
LongestStamenLength-NectarVolume	flower-nectar
LongestStamenLength-NectarySize	flower-nectar
LongestStamenLength-OverallCorollaLength	flower
LongestStamenLength-PistilLength	flower
LongestStamenLength-SeedLength	flower-seed
LongestStamenLength-SeedMass	flower-seed
LongestStamenLength-SeedWidth	flower-seed
LongestStamenLength-SepalLength	flower
LongestStamenLength-SugarConcentration	flower-nectar
NectarVolume-NectarySize	nectar
NectarVolume-OverallCorollaLength	flower-nectar
NectarVolume-PistilLength	flower-nectar
NectarVolume-SeedLength	seed-nectar
NectarVolume-SeedMass	seed-nectar
NectarVolume-SeedWidth	seed-nectar
NectarVolume-SepalLength	flower-nectar
NectarVolume-SugarConcentration	nectar
NectarySize-OverallCorollaLength	flower-nectar
NectarySize-PistilLength	flower-nectar
NectarySize-SeedLength	seed-nectar
NectarySize-SeedMass	seed-nectar
NectarySize-SeedWidth	seed-nectar
NectarySize-SepalLength	flower-nectar
NectarySize-SugarConcentration	nectar
OverallCorollaLength-PistilLength	flower
OverallCorollaLength-SeedLength	flower-seed
OverallCorollaLength-SeedMass	flower-seed
OverallCorollaLength-SeedWidth	flower-seed
OverallCorollaLength-SepalLength	flower
OverallCorollaLength-SugarConcentration	flower-nectar
PistilLength-SeedLength	flower-seed
PistilLength-SeedMass	flower-seed
PistilLength-SeedWidth	flower-seed
PistilLength-SepalLength	flower
PistilLength-SugarConcentration	flower-nectar
SeedLength-SeedMass	seed
SeedLength-SeedWidth	seed
SeedLength-SepalLength	flower-seed
SeedLength-SugarConcentration	seed-nectar
SeedMass-SeedWidth	seed
SeedMass-SepalLength	flower-seed
SeedMass-SugarConcentration	seed-nectar
SeedWidth-SepalLength	flower-seed
SeedWidth-SugarConcentration	seed-nectar
SepalLength-SugarConcentration	flower-nectar
