Trait	C_mean	L_mean	Difference
"""CorollaLength"""	26.6064	17.52641	9.07999
"""CorollaThroat"""	7.446133	5.588205	1.857928
"""CorollaWidth"""	28.10107	16.42397	11.6771
"""LongestStamenLength"""	19.418	12.46744	6.95056
"""NectarVolume"""	3.2394417	0.5165865	2.7228552
"""NectarySize"""	0.18586045	0.05802526	0.12783519
"""OverallCorollaLength"""	32.35733	20.06615	12.29118
"""PistilLength"""	16.02533	10.74795	5.27738
"""SeedLength"""	4.194167	4.6208	0.426633
"""SeedMass"""	0.02416667	0.02924	0.00507333
"""SeedWidth"""	3.83625	4.156	0.31975
"""SepalLength"""	11.5392	10.87603	0.66317
"""SugarConcentration"""	382.8448	247.7433	135.1015
"""lnNectarySize"""	-1.732912	-2.900951	1.168039
"""sqrtNectarVol"""	1.7686103	0.6800956	1.0885147
