Line,CorollaWidth,CorollaThroat,CorollaLength,OverallCorollaLength,SepalLength,LongestStamenLength,PistilLength,SeedMass,SeedLength,SeedWidth,NectarVolume,SugarConcentration,NectarySize,sqrtNectarVol,lnNectarySize
014s,21.29166667,6.548333333,22.80333334,26.3,11.24833334,16.09166667,14.63166667,0.033,4.4,4.195,2.053229167,345.8062011,0.1424821,1.428668711,-1.975322508
025s,20.255,6.263333334,20.38666667,23.87833334,11.27833333,13.38166667,12.51666667,0.024,3.895,3.7,0.841458333,273.4244071,0.064639261,0.86568604,-2.797220298
032s,20.925,6.195,22.04333334,25.85666667,10.67166667,15.8,14.17833333,0.0345,4.61,4.495,1.071354167,299.5115284,0.076213315,1.005910478,-2.64246006
039s,22.75333333,6.575,22.715,27.59333333,11.33,16.055,13.975,0.0285,4.385,4.14,2.007291667,330.4851176,0.11691563,1.408397621,-2.15728271
043s,22.61,6.38,22.98166667,27.13333334,11.48833333,16.345,15.445,0.0325,4.83,4.525,1.528020834,346.0065749,0.137032018,1.234720876,-2.00063962
054s,22.08833333,6.206666667,23.585,27.00666667,10.29166667,17.63833334,14.435,0.0295,4.285,4.43,1.734479167,365.9718392,0.121067331,1.309993098,-2.116929857
068s,19.23,6.23,22.45166667,25.06833334,11.02166667,14.635,12.91833334,0.032,4.765,4.245,1.0940625,362.8902377,0.100367822,0.98537499,-2.350775468
075s,22.82,6.425,24.28666667,27.99666667,11.65666667,17.395,13.78166667,0.0295,4.545,4.145,1.503645833,307.1016763,0.095469161,1.197161749,-2.364788016
077b,20.3,6.661666667,21.915,25.49,10.58333333,15.64333334,11.93333334,0.024,3.79,3.67,1.227708333,355.5933581,0.0713373,1.07533419,-2.657942928
081d,20.01166667,6.445,22.38166667,25.94833334,10.95666667,15.975,15.75666667,0.0295,4.595,3.79,1.384270834,326.0711139,0.124133506,1.119731499,-2.15453475
090b,26.83,7.223333333,26.83666667,31.13666667,13.02666667,17.56333333,15.66666667,0.031,4.47,4.06,2.780625,343.7636405,0.111760418,1.663205023,-2.218415235
093s,23.92,6.353333334,24.01833333,28.955,12.12,16.98,16.015,0.0395,4.49,4.54,1.281666667,305.2906224,0.088838187,1.102581464,-2.485067286
1,19.11833334,6.721666667,21.83833334,24.52666667,11.015,14.63833334,11.76166667,0.036,4.41,4.26,1.423333333,316.7563794,0.101372885,1.149563097,-2.308357869
101s,22.985,6.106666667,23.65166667,28.4,12.39166667,16.65833333,14.12666667,0.0255,4.36,3.935,1.714895834,336.8968461,0.088341032,1.258460984,-2.50955728
104,24.88166667,8.13,25.07,29.31,12.785,16.575,14.90333333,0.034,4.925,4.075,1.755520834,318.38634,0.090306362,1.306891606,-2.433032238
105,24.50166667,7.253333334,24.45833333,29.27,11.42166667,16.205,15.39,0.0295,4.63,4.045,1.150520834,324.3344418,0.085770881,1.061711456,-2.4679129
106,16.53666667,5.196666667,19.41666667,22.61,8.926666667,12.52,10.88333333,0.025,4.06,3.9,0.349166667,241.6934319,0.078515623,0.492854044,-2.646166404
107s,21.81833334,6.748333334,24.685,27.74833333,11.21166667,16.2,13.90833333,0.03,4.265,4.16,1.822708334,305.318583,0.103500705,1.340795391,-2.282324865
108,21.39333333,6.215,23.69166667,27.44166667,10.80333334,16.39666667,14.18833333,0.0285,4.27,4.1,1.253541667,283.8239935,0.06541468,1.079487835,-2.779441243
109,21.66833334,6.848333334,22.86333333,26.32166667,10.58333334,16.09333334,13.87833334,0.0335,4.69,4.185,1.333645833,290.5644786,0.089506076,1.119213838,-2.463445638
11,23.66,6.745,23.96333333,28.69,11.92166667,16.97333333,14.645,0.033,4.57,4.275,2.137604167,324.3110653,0.097132669,1.44056693,-2.337195573
112,23.19,6.856666667,25.465,29.41833334,10.88666667,16.71833334,14.59333333,0.029,4.24,3.69,1.678854167,311.6994172,0.087603348,1.270179348,-2.480823267
115,18.57333334,6.266666667,19.835,22.79,9.373333334,14.22166667,12.08,0.034,4.56,4.08,1.0878125,271.2084372,0.065162366,0.960037552,-2.808878806
117s,19.74166667,6.235,20.53666667,23.49333334,10.27333333,14.3,12.88666667,0.0305,3.745,4.12,1.604635417,292.5236059,0.093124834,1.23178381,-2.409772857
118,18.61166667,5.968333334,20.595,23.98,10.78166667,15.56333333,13.78666667,0.033,4.63,4.045,0.886770834,281.2896727,0.066418576,0.919057989,-2.76064307
119s,20.41333334,5.978333334,23.34,26.92,10.98166667,17.57333333,13.965,0.029,4.24,3.79,1.380729167,351.2382502,0.075849427,1.14260231,-2.704673524
12,21.46666667,6.525,21.03833334,24.735,10.07666667,16.39833333,13.84,0.03,4.205,3.945,1.915,290.0494737,0.086883054,1.351445152,-2.519107736
120,19.81666667,6.661666667,21.54,24.83333334,11.85,15.27333334,13.26166667,0.037,4.92,4.105,1.229375,279.6587056,0.12011359,1.064644954,-2.176880229
121,19.36666667,6.068333334,20.45333334,23.515,11.12,14.11,11.51666667,0.025,3.88,3.35,0.855625,280.3478218,0.048907096,0.903091217,-3.033621508
122,22.35833333,6.663333334,23.04833334,27.55333333,11.31666667,16.315,13.645,0.0275,4.28,3.955,0.931770833,246.9904924,0.085859125,0.926219508,-2.474337373
124,18.45,6.33,22.665,25.91166667,10.37833333,15.10833334,14.79666667,0.0285,4.36,4.39,1.41125,317.4016215,0.09344417,1.155431998,-2.399676576
125,20.42333334,6.053333334,20.845,24.76333334,11.41,15.60166667,14.06333333,0.027,4.145,4.035,0.942395833,261.8305021,0.064810625,0.965879282,-2.769968947
126,22.09333334,6.086666667,21.54,26.20333334,10.535,15.865,14.45333334,0.032,4.59,4.07,1.245208334,308.5468007,0.09035545,1.100966189,-2.46656722
128,24.575,7.378333334,26.46,30.28666667,11.41166667,17.09833333,16.37333333,0.0295,4.36,4.27,1.93,307.084308,0.123221444,1.380842748,-2.098658634
13,22.02,6.84,23.98333334,27.79833333,10.475,17.01333333,14.81666667,0.027,4.265,3.71,1.615104167,335.5963482,0.087063151,1.251652685,-2.457194744
130,26.44333334,7.343333333,22.04333333,27.33333334,12.17833334,15.89333334,13.14333333,0.0345,4.28,4.405,1.635729167,305.3105633,0.17620615,1.243419972,-1.769666754
132,22.93833334,6.291666667,24.96166667,29.95333334,10.86833333,17.39166667,13.58666667,0.0295,4.285,3.775,1.233333334,282.2708458,0.07631621,1.081963927,-2.592672671
133,22.08666667,7.065,22.56666667,26.27833333,11.07166667,16.585,14.43666667,0.025,4.455,3.96,1.233333334,299.0507222,0.074771866,1.054031723,-2.631528598
134,21.42833334,5.871666667,22.25333334,26.595,11.22,16.315,14.78833334,0.027,4.38,4.005,1.706458334,325.7666478,0.126351611,1.302097992,-2.083083108
135,22.10833333,7.121666667,21.945,26.92,11.96,14.53333334,12.61,0.035,4.75,4.085,1.796979167,296.9470062,0.097555496,1.295672805,-2.346515816
136,22.48333333,6.09,21.66166667,25.96166667,11.015,14.56,12.665,0.0265,4.56,3.885,1.193854167,257.4311065,0.081357212,1.060801959,-2.529531777
137,19.87166667,5.95,21.72166667,24.93333334,10.80666667,14.99166667,12.23,0.031,4.19,3.715,1.368541667,263.3022119,0.086415159,1.158214851,-2.480851731
