Marker,Chr,cM
100013_12746748,1,0
100013_12691319,1,0
100013_12660388,1,0
100013_12660182,1,0
100013_12657133,1,0.0815
100013_12657122,1,0.0815
100013_12657095,1,0.0815
100013_12657088,1,0.0815
100013_12657087,1,0.0815
100013_12637655,1,0.1625
100013_12583481,1,0.244
100013_12572361,1,0.325
100013_12491046,1,0.7325
100013_12482149,1,0.977
100013_12357029,1,0.977
100013_12301740,1,1.058
100013_12301699,1,1.058
100013_12156016,1,1.466
100013_12129064,1,1.628
100013_12128971,1,1.628
100013_11962902,1,3.363
100013_11962330,1,3.4445
100013_11924064,1,3.689
100013_11903110,1,3.7705
100013_11871080,1,3.933
100013_11852892,1,4.0145
100013_11706417,1,6.171
100013_11706406,1,6.2525
100013_11706404,1,6.2525
100013_11682652,1,6.2525
100013_11682631,1,6.2525
100013_11628941,1,6.2525
100013_11628760,1,6.2525
100013_11555214,1,6.4145
100013_11554261,1,6.5775
100013_11554254,1,6.5775
100013_11554103,1,6.659
100013_11554089,1,6.659
100013_11554086,1,6.659
100013_11512278,1,6.74
100013_11501154,1,6.74
100013_11501065,1,6.8215
100013_11494881,1,6.8215
100013_11433880,1,7.7225
100013_11335083,1,10.4755
100013_11331470,1,10.6385
100013_11234257,1,12.2055
100013_11171936,1,14.5315
100013_11136990,1,15.1035
100013_11094751,1,15.266
100013_11013406,1,15.51
100013_10961880,1,15.836
100013_10961857,1,15.836
100013_10961853,1,15.836
100013_10961743,1,15.836
100013_10961735,1,15.836
100013_10780287,1,16.325
100013_10683867,1,17.8085
100013_10683400,1,17.8085
100013_10677527,1,17.9705
100013_10585078,1,18.707
100013_10235361,1,22.852
100013_10235280,1,22.852
100013_9960917,1,24.8395
100013_9875712,1,26.406
100013_9875280,1,26.4875
100013_9523064,1,30.808
100013_9523049,1,30.8895
100013_9523048,1,30.8895
100013_9523031,1,31.0525
100013_9508117,1,31.215
100013_9500578,1,31.541
100013_9481179,1,31.7855
100013_9481159,1,31.7855
100013_9422945,1,32.3575
100013_9410242,1,32.3575
100013_9410156,1,32.3575
100013_9410049,1,32.3575
100013_9381947,1,32.3575
100013_9124259,1,35.3685
100013_9124159,1,35.3685
100013_8770999,1,38.8145
100013_7964651,1,45.596
100013_7939177,1,47.5145
100013_7607426,1,49.334
100013_7519097,1,49.497
100013_7519092,1,49.497
