Chrom	Scaffold	Pos	Male_cM	Female_cM	cM
LG_10	Super-Scaffold_100008	178534	0	0	0
LG_10	Super-Scaffold_100008	282291	0	0	0
LG_10	Super-Scaffold_100008	440494	0.163	0.163	0.163
LG_10	Super-Scaffold_100008	441448	0.163	0.163	0.163
LG_10	Super-Scaffold_100008	833924	0.325	0.163	0.244
LG_10	Super-Scaffold_100008	833992	0.325	0.163	0.244
LG_10	Super-Scaffold_100008	937525	0.488	0.163	0.3255
LG_10	Super-Scaffold_100008	948916	0.488	0.163	0.3255
LG_10	Super-Scaffold_100008	948928	0.488	0.163	0.3255
LG_10	Super-Scaffold_100008	948983	0.488	0.163	0.3255
LG_10	Super-Scaffold_100008	1014155	0.65	0.163	0.4065
LG_10	Super-Scaffold_100008	1052769	0.65	0.163	0.4065
LG_10	Super-Scaffold_100008	1204276	0.976	0.325	0.6505
LG_10	Super-Scaffold_100008	1346288	1.139	0.325	0.732
LG_10	Super-Scaffold_100008	1478451	1.139	0.325	0.732
LG_10	Super-Scaffold_100008	1652435	1.301	0.325	0.813
LG_10	Super-Scaffold_100008	1753157	1.301	0.325	0.813
LG_10	Super-Scaffold_100008	1962814	1.955	0.325	1.14
LG_10	Super-Scaffold_100008	2025288	2.939	1.309	2.124
LG_10	Super-Scaffold_100008	2082962	2.939	1.309	2.124
LG_10	Super-Scaffold_100008	2095192	2.939	1.309	2.124
LG_10	Super-Scaffold_100008	2100826	2.939	1.309	2.124
LG_10	Super-Scaffold_100008	2116673	2.939	1.309	2.124
LG_10	Super-Scaffold_100008	2116854	2.939	1.309	2.124
LG_10	Super-Scaffold_100008	2139996	2.939	1.309	2.124
LG_10	Super-Scaffold_100008	2230480	3.101	1.309	2.205
LG_10	Super-Scaffold_100008	2284280	3.92	1.962	2.941
LG_10	Super-Scaffold_100008	2420947	4.409	2.781	3.595
LG_10	Super-Scaffold_100008	2522352	5.393	3.599	4.496
LG_10	Super-Scaffold_100008	2561452	5.718	3.925	4.8215
LG_10	Super-Scaffold_100008	2856320	6.537	4.909	5.723
LG_10	Super-Scaffold_100008	3126665	7.686	5.892	6.789
LG_10	Super-Scaffold_100008	3171589	8.176	6.382	7.279
LG_10	Super-Scaffold_100008	3173727	8.665	6.382	7.5235
LG_10	Super-Scaffold_100008	3186351	8.991	6.707	7.849
LG_10	Super-Scaffold_100008	3186752	8.991	6.707	7.849
LG_10	Super-Scaffold_100008	3358086	9.153	6.87	8.0115
LG_10	Super-Scaffold_100008	3504370	9.807	7.523	8.665
LG_10	Super-Scaffold_100008	3549934	10.296	8.177	9.2365
LG_10	Super-Scaffold_100008	3556181	10.296	8.34	9.318
LG_10	Super-Scaffold_100008	3614030	10.786	8.502	9.644
LG_10	Super-Scaffold_100008	3765532	11.935	8.992	10.4635
LG_10	Super-Scaffold_100008	3765564	11.935	8.992	10.4635
LG_10	Super-Scaffold_100008	3776025	12.589	8.992	10.7905
LG_10	Super-Scaffold_100008	3776306	12.589	8.992	10.7905
LG_10	Super-Scaffold_100008	3776307	12.589	8.992	10.7905
LG_10	Super-Scaffold_100008	3796704	12.914	9.317	11.1155
LG_10	Super-Scaffold_100008	3806245	12.914	9.48	11.197
LG_10	Super-Scaffold_100008	3806305	12.914	9.48	11.197
LG_10	Super-Scaffold_100008	3806316	12.914	9.48	11.197
LG_10	Super-Scaffold_100008	3806318	12.914	9.48	11.197
LG_10	Super-Scaffold_100008	3806327	12.914	9.48	11.197
LG_10	Super-Scaffold_100008	3806456	12.914	9.48	11.197
LG_10	Super-Scaffold_100008	3806462	12.914	9.48	11.197
LG_10	Super-Scaffold_100008	3806467	12.914	9.48	11.197
LG_10	Super-Scaffold_100008	3806489	12.914	9.643	11.2785
LG_10	Super-Scaffold_100008	3806508	12.914	9.643	11.2785
LG_10	Super-Scaffold_100008	3806509	12.914	9.643	11.2785
LG_10	Super-Scaffold_100008	3806537	12.914	10.132	11.523
LG_10	Super-Scaffold_100008	4049744	14.565	11.615	13.09
LG_10	Super-Scaffold_100008	4132520	14.565	11.615	13.09
LG_10	Super-Scaffold_100008	4269200	14.727	11.615	13.171
LG_10	Super-Scaffold_100008	4269304	14.727	11.615	13.171
LG_10	Super-Scaffold_100008	4292226	14.727	11.615	13.171
LG_10	Super-Scaffold_100008	4319765	14.727	11.615	13.171
LG_10	Super-Scaffold_100008	4319792	14.727	11.615	13.171
LG_10	Super-Scaffold_100008	4344604	15.711	12.104	13.9075
LG_10	Super-Scaffold_100008	4344615	15.711	12.104	13.9075
