"Scaffold"	"QTL1_ID"	"QTL2_ID"	"Linkage_Group"	"Midpoint"	"Marker"	"marker_genetic_pos"	"Num11"	"Num22"	"X11"	"X22"
"100001"	73	115	7	117.69925	"100001_10831455"	116.7275	133	146	"CC"	"LL"
"100001"	89	137	7	197.4475	"100001_1793367"	198.2375	135	165	"CC"	"LL"
"100001"	20	73	7	206.5255	"100001_1134102"	205.7085	132	160	"CC"	"LL"
"100001"	49	122	7	56.85325	"100001_25018383"	56.931	137	158	"CC"	"LL"
"100001"	60	137	7	198.85525	"100001_1716127"	198.808	137	167	"CC"	"LL"
"100001"	34	60	7	97.87475	"100001_13513933"	98.8655	127	148	"CC"	"LL"
"100001"	115	122	7	64.6625	"100001_24463760"	65.499	128	149	"CC"	"LL"
"100001"	49	88	7	11.78125	"100001_28719075"	11.21	147	140	"CC"	"LL"
"100001"	60	122	7	95.0365	"100001_15510428"	95.4775	129	150	"CC"	"LL"
"100001"	60	89	7	191.508	"100001_2159081"	191.4735	141	165	"CC"	"LL"
"100001"	73	88	7	11.78125	"100001_28719075"	11.21	147	140	"CC"	"LL"
"100001"	34	88	7	11.78125	"100001_28719075"	11.21	147	140	"CC"	"LL"
"100001"	49	60	7	87.22725	"100001_22172436"	84.7995	124	148	"CC"	"LL"
"100001"	20	137	7	207.8305	"100001_891524"	208.6335	132	161	"CC"	"LL"
"100001"	49	115	7	56.85325	"100001_25018570"	56.931	137	158	"CC"	"LL"
"100001"	34	49	7	44.8275	"100001_26233525"	45.3755	130	156	"CC"	"LL"
"100001"	73	137	7	203.7985	"100001_1330270"	202.356	132	165	"CC"	"LL"
"100001"	60	73	7	143.13	"100001_6747571"	143.3085	134	161	"CC"	"LL"
"100001"	34	73	7	55.475	"100001_25178530"	55.2135	139	154	"CC"	"LL"
"100001"	60	115	7	143.13	"100001_6747571"	143.3085	134	161	"CC"	"LL"
"100001"	34	122	7	64.6625	"100001_24463760"	65.499	128	149	"CC"	"LL"
"100001"	73	122	7	64.6625	"100001_24463760"	65.499	128	149	"CC"	"LL"
"100001"	49	73	7	44.8275	"100001_26233467"	45.3755	130	156	"CC"	"LL"
"100001"	34	115	7	67.50075	"100001_24156613"	67.296	133	159	"CC"	"LL"
"100001"	73	89	7	191.508	"100001_2159081"	191.4735	141	165	"CC"	"LL"
"100001"	115	137	7	205.1035	"100001_1134351"	205.627	131	165	"CC"	"LL"
"100001"	89	115	7	191.508	"100001_2159081"	191.4735	141	165	"CC"	"LL"
"100001"	20	115	7	207.8305	"100001_891524"	208.6335	132	161	"CC"	"LL"
"100002"	40	65	15	19.062	"100002_23196114"	19.1425	65	231	"LL"	"CC"
