lodindex	Trait	L_M	Chr	pos	LOD	ci_lo	ci_hi	ci_total	RHE_CC-LL_L	Direction_L	RHE_CC-LL_M	Direction_M	Avg_RHE_CC-LL	calcPVE-2
1	CorollaWidth	M	1	202.9555	9.341277	197.727	208.535	10.808	0.107617474	1	0.109334509	1	0.108475992	0.066382059
1	CorollaWidth	M	2	49.93117	8.669439	38.00915	55.90168	17.89253	0.102486919	1	0.102486919	1	0.102486919	0.063288984
1	CorollaWidth	M	4	62.37565	6.470103	49.72713	79.26217	29.53504	0.098879002	1	0.098879002	1	0.098879002	0.05030356
1	CorollaWidth	M	5	167.7819	10.814064	163.7224	176.0234	12.301	0.106505896	1	0.106505896	1	0.106505896	0.078646563
1	CorollaWidth	M	8	227.0059	4.925853	210.8519	241.0999	30.248	0.05604645	1	0.066776854	1	0.061411652	0.037249993
1	CorollaWidth	L	10	177.9935	3.923731	144.6865	182.1695	37.483	0.086238021	1			0.086238021	0.029609753
1	CorollaWidth	L	11	111.0425	3.462357	100.2545	142.55	42.2955	0.050406351	1	0.050406351	1	0.050406351	0.026659423
1	CorollaWidth	M	13	65.9782	10.362079	55.06614	74.0672	19.00106	0.111627031	1	0.111627031	1	0.111627031	0.07683678
2	CorollaThroat	M	1	55.5166	4.358332	47.51458	70.90112	23.38654			0.110290603	1	0.110290603	0.03277958
2	CorollaThroat	M	1	241.916	9.440827	226	248.8701	22.8701	0.171669731	1	0.171611064	1	0.171640397	0.06787564
2	CorollaThroat	M	6	60.18907	3.998432	27.67103	65.35958	37.68855			0.134217795	1	0.134217795	0.031071783
2	CorollaThroat	M	7	212	4.694686	201.7044	213.9574	12.253	-0.108679131	-1	-0.109036518	-1	-0.108857825	0.034877421
2	CorollaThroat	M	8	192	3.143178	124.1033	208.7899	84.6866			0.124145284	1	0.124145284	0.029745562
2	CorollaThroat	M	8	241.0999	5.694232	232.3009	241.0999	8.799	0.17562306	1	0.176569275	1	0.176096168	0.042253526
